"","model","formula","lam(Int)","SElam(Int)","lam(Jackpine_50)","SElam(Jackpine_50)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(S150.VPD__4.5m_Grid.1x1m.mean)","SElam(S150.VPD__4.5m_Grid.1x1m.mean)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"13","236","~1 ~ Jackpine_50 + S150.VPD__3.4m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + 1",0.749247328533097,0.236945988251717,0.298510603674011,0.0853072618676351,0.0655081247018325,0.092679064238082,NA,NA,NA,NA,-0.224651629431902,0.107421204108394,-1.25258217764041,0.305715947575872,NA,NA,0,32.5370728793254,334.122544538723,5,98,678.245089077445,6.92444311084034,0.00996635646419011,NA,0.947776285115834,0.149262900972118
"14","235","~1 ~ Jackpine_50 + S150.VPD__3.4m_Grid.1x1m.mean + Species_Pice_Gla_v1_50 + 1",0.780099075805376,0.245309590294159,0.278239579587901,0.0865063072304777,0.0125948629059152,0.092874170107657,NA,NA,0.169426216722248,0.0798649487145746,NA,NA,-1.28172480833125,0.315911888749983,NA,NA,0,38.5725684154017,334.491998887183,5,98,678.983997774365,7.66335180776048,0.00688786190844843,NA,0.954664147024282,0.142824198332992
"15","156","~Julian + 1 ~ Species_Pice_Gla_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",0.775354141626611,0.213918515843097,NA,NA,NA,NA,NA,NA,0.187114618814942,0.0821967993559708,-0.185127352990223,0.108915745717993,-1.25748104843232,0.277849171223907,-0.293519241835645,0.114972722399244,0,25.4619139818427,334.508588576966,5,98,679.017177153932,7.69653118732742,0.00677453702749924,NA,0.961438684051782,0.142533939391021
"16","346","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + 1",0.69378786254238,0.219441269110236,NA,NA,-0.650287126942978,0.234763890613043,0.743947161683633,0.229608618131943,NA,NA,-0.25096265742961,0.113560324634591,-1.17892411759376,0.284184433069989,NA,NA,0,29.7005899414686,334.553609911486,5,98,679.107219822971,7.78657385636632,0.00647630216860591,NA,0.967914986220388,0.141745735173887
"17","2","~1 ~ Jackpine_50 + 1",0.71626542466463,0.219778188084413,0.294428525914367,0.0862201286289773,NA,NA,NA,NA,NA,NA,NA,NA,-1.17550518217242,0.286793612398895,NA,NA,0,26.2819720108102,336.612511564,3,98,679.225023128,7.90437716139502,0.00610585435934794,NA,0.974020840579736,0.104914895474883
"18","146","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + 1",0.7771611402799,0.211966114350395,NA,NA,NA,NA,0.190604107288234,0.0922190221988107,NA,NA,-0.242701932941485,0.109623111023845,-1.25776791941619,0.275400894547554,-0.320779869084182,0.116312464113241,0,22.6362948288593,334.715653158962,5,98,679.431306317923,8.11066035131853,0.00550747602764731,NA,0.979528316607383,0.138902785752359
"19","24","~1 ~ Jackpine_50 + S150.VPD__4.5m_Grid.1x1m.mean + 1",0.738109846119284,0.229534646497056,0.290051356953289,0.0854587402163326,NA,NA,0.121035828992995,0.0921897647223955,NA,NA,NA,NA,-1.21397343320549,0.298350354294574,NA,NA,0,29.7307082635312,335.765595704721,4,98,679.531191409442,8.2105454428372,0.00523917425636197,NA,0.984767490863745,0.120252613487706
"20","345","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + S150.VPD__4.5m_Grid.1x1m.mean + Species_Pice_Gla_v1_50 + 1",0.729012333855184,0.228751094165828,NA,NA,-0.675802351467252,0.23778154965617,0.702559744555373,0.232539665280678,0.201163132517828,0.084722488019546,NA,NA,-1.21746797538941,0.295778412930541,NA,NA,0,35.2764325739643,334.772780301723,5,98,679.545560603447,8.22491463684207,0.0052016677964395,NA,0.989969158660184,0.137898281463689
"21","15","~Julian + 1 ~ Species_Pice_Gla_v1_50 + 1",0.768401188113259,0.206958630748811,NA,NA,NA,NA,NA,NA,0.211188444927927,0.08111671739368,NA,NA,-1.22873112497328,0.270293451225047,-0.295113974840377,0.11561274620191,0,22.7785064757604,336.046225984832,4,98,680.092451969663,8.7718060030586,0.0039571877986804,NA,0.993926346458865,0.115199713956012
"22","145","~Julian + 1 ~ S150.VPD__4.5m_Grid.1x1m.mean + Species_Pice_Gla_v1_50 + 1",0.797038967860654,0.214164312077602,NA,NA,NA,NA,0.123439555416855,0.0924826512519073,0.189985629363856,0.0841193924726031,NA,NA,-1.27551350711402,0.278589891328098,-0.317700559628114,0.115840645552559,0,26.5715459740074,335.157043258293,5,98,680.314086516586,8.99344054998153,0.00354208787215457,NA,0.997468434331019,0.131111014146931
