"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Int)","SElam(Int)","lam(Jackpine_150)","SElam(Jackpine_150)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Pice_Mar_v1_50)","SElam(Species_Pice_Mar_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Tamarack_150)","SElam(Tamarack_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"14","359","~1 ~ Jackpine_150 + S150.VPD__3.4m_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.775435761147522,0.75810799785285,-0.0234943210890405,0.135997974640829,NA,NA,0.639029893844924,0.116605515596678,NA,NA,NA,NA,NA,NA,0.263261060507961,0.0946553689681324,-2.38433643593014,0.833007121171355,NA,NA,0,256.720224175876,206.684457440069,5,98,423.368914880138,5.32417424089738,0.0193563193086937,NA,0.847166794447679,0.282863957320758
"15","145","~Julian + 1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",NA,NA,0.587800011815897,0.582598841101703,NA,NA,0.364438400000191,0.144594778357616,0.389772418962865,0.144314552384661,NA,NA,NA,NA,NA,NA,NA,NA,-2.18474940560067,0.649567050204303,0.0767029938288836,0.149647773990639,0,182.6784741907,206.879601514123,5,98,423.759203028247,5.71446238900603,0.0159247558701641,NA,0.863091550317843,0.280002245346256
"16","345","~1 ~ Jackpine_150 + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",NA,NA,0.585393665198472,0.593483379568211,-0.0240678327244245,0.135898194250444,0.363213820550803,0.14829014849263,0.403404186909617,0.141507574574249,NA,NA,NA,NA,NA,NA,NA,NA,-2.17874662073884,0.661339353557544,NA,NA,0,191.47486238309,206.995221582571,5,98,423.990443165141,5.94570252590086,0.0141859892206218,NA,0.877277539538465,0.278301337580101
"17","458","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Structure_Biomass_TotalDead_v1_50 + 1",NA,NA,0.565392126383898,0.570737328512173,NA,NA,0.371953002320503,0.145067417749651,0.404749920532623,0.141329994046172,NA,NA,NA,NA,-0.0128558163187138,0.104076419041611,NA,NA,-2.15826359306779,0.638637742901101,NA,NA,0,171.238785114955,207.0032158436,5,98,424.0064316872,5.96169104795899,0.0140730348148974,NA,0.891350574353362,0.278183584148371
"18","245","~1 ~ Blackspruce_150 + S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + 1",-0.000492637853256001,0.139989733002457,0.564778929710548,0.569474222262662,NA,NA,0.369784769802679,0.149786874191342,0.404075461847451,0.15081334132684,NA,NA,NA,NA,NA,NA,NA,NA,-2.15709750053432,0.637299214805338,NA,NA,0,198.042579732852,207.010983094018,5,98,424.021966188037,5.97722554879601,0.0139641494467246,NA,0.905314723800087,0.278069156123026
"19","567","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.475577422465803,0.543000680685389,NA,NA,NA,NA,0.516378969322966,0.124967543799967,-0.280720975410137,0.147259386246838,0.441956758341069,0.197675865141659,NA,NA,NA,NA,-2.06599750202761,0.609566368810644,NA,NA,0,119.333556900058,207.015788998172,5,98,424.031577996345,5.98683735710432,0.0138972000878495,NA,0.919211923887936,0.277998345906855
"20","57","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.438000947896135,0.503317823018876,NA,NA,NA,NA,0.583154903102533,0.118025512187001,NA,NA,0.259316306331512,0.174582419959765,NA,NA,NA,NA,-1.9949888765976,0.570728935478354,NA,NA,0,99.3648066477854,208.906629188264,4,98,425.813258376527,7.76851773728663,0.00570217224140976,NA,0.924914096129346,0.249592790501941
"21","5","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + 1",NA,NA,0.472474123974764,0.497177524902825,NA,NA,NA,NA,0.605570692566846,0.113816025174469,NA,NA,NA,NA,NA,NA,NA,NA,-1.98790627465664,0.568892565442449,NA,NA,0,95.5859942862509,210.152200303839,3,98,426.304400607679,8.25965996843809,0.0044605678638077,NA,0.929374663993154,0.23027306362251
"22","479","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + Tamarack_150 + 1",NA,NA,0.472233187338749,0.500359401239663,NA,NA,0.550025670066778,0.118907691716495,NA,NA,NA,NA,0.268961998499197,0.170347994022298,NA,NA,0.180245155935486,0.0938228426019963,-2.04572222089824,0.563891654562735,NA,NA,0,104.885359295883,208.153653392479,5,98,426.307306784957,8.26256614571673,0.00445409097020977,NA,0.933828754963363,0.2610360392182
"23","49","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.497356412190569,0.493126042506236,NA,NA,0.582664232643093,0.116440656473414,NA,NA,NA,NA,NA,NA,NA,NA,0.16006905813846,0.0942814677668679,-2.02598658452903,0.561313577560313,NA,NA,0,101.556862021711,209.566631611147,4,98,427.133263222294,9.08852258305382,0.00294716819182005,NA,0.936775923155184,0.239416849466194
"24","357","~1 ~ Jackpine_150 + S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.523817590995204,0.565709818641749,-0.101017800347293,0.129435350174901,NA,NA,0.563572015132717,0.119520983154758,NA,NA,0.26141254747533,0.172260796777385,NA,NA,NA,NA,-2.09281782223455,0.635710638932354,NA,NA,0,132.649865809003,208.600794778869,5,98,427.201589557738,9.1568489184977,0.00284818402397177,NA,0.939624107179155,0.25426188475004
"25","157","~Julian + 1 ~ S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.460943862181596,0.515197444931699,NA,NA,NA,NA,0.562719995100407,0.122031168024542,NA,NA,0.254645689752284,0.175463867331768,NA,NA,NA,NA,-2.02459211328651,0.581589347141857,0.094884022077931,0.154499018818748,0,107.420041196022,208.717911561157,5,98,427.435823122313,9.39108248307275,0.00253340646085204,NA,0.942157513640007,0.252477335623823
"26","469","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + Tamarack_150 + 1",NA,NA,0.560873705771471,0.541921614179891,NA,NA,0.581841072501792,0.116476081848165,NA,NA,-0.156906251334181,0.122733340299086,NA,NA,NA,NA,0.158016961945782,0.0935340548300031,-2.1081615496198,0.612014421747546,NA,NA,0,126.279797723381,208.738370994473,5,98,427.476741988945,9.43200134970471,0.00248210102996735,NA,0.944639614669975,0.252165150247299
"27","47","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",NA,NA,0.383626767657052,0.44331916416455,NA,NA,0.561773381925863,0.119648118679066,NA,NA,NA,NA,0.235866727892983,0.170276708022267,NA,NA,NA,NA,-1.91119237205947,0.506916171287856,NA,NA,0,75.5338620432475,209.746018445572,4,98,427.492036891144,9.44729625190365,0.00246319168003819,NA,0.947102806350013,0.236627285045963
"28","257","~1 ~ Blackspruce_150 + S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",0.0622972372149105,0.139874258556681,0.439987281188112,0.500526113764969,NA,NA,NA,NA,0.551950808332366,0.137347280919128,NA,NA,0.246473125429867,0.177411037031643,NA,NA,NA,NA,-1.99732824868871,0.56717180538066,NA,NA,0,117.869664394516,208.80737531319,5,98,427.614750626379,9.57000998713863,0.00231660110915201,NA,0.949419407459165,0.251111268880593
"29","4","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + 1",NA,NA,0.414488948716036,0.443623694670167,NA,NA,0.599378409434884,0.116099650578778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9137645094284,0.511004248853612,NA,NA,0,72.9217407042603,210.828933698811,3,98,427.657867397623,9.61312675838229,0.00226719341770292,NA,0.951686600876868,0.21956870475982
"30","56","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Species_Pice_Mar_v1_50 + 1",NA,NA,0.489471767675239,0.507346097698014,NA,NA,NA,NA,0.59197830120115,0.114174252206282,-0.0978983247354215,0.122645531629204,NA,NA,NA,NA,NA,NA,-2.00997190547058,0.578757977961589,NA,NA,0,103.107628796168,209.829577901666,4,98,427.659155803333,9.61441516409235,0.00226573335556892,NA,0.953952334232437,0.23532439876796
"31","149","~Julian + 1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Tamarack_150 + 1",NA,NA,0.567494151868959,0.524353849521485,NA,NA,0.550918006120814,0.119986940949798,NA,NA,NA,NA,NA,NA,NA,NA,0.169380599564037,0.0938269236732204,-2.11670429946925,0.590569842872799,0.174860671245988,0.148493656388495,0,117.75828168193,208.869764723785,5,98,427.73952944757,9.69478880832946,0.00217648602625057,NA,0.956128820258687,0.250157136552089
"32","25","~1 ~ Blackspruce_150 + S150.VPD__3.4m_Grid.1x1m.mean + 1",0.10405230234331,0.140443597832475,0.472671728959721,0.493164521566176,NA,NA,NA,NA,0.555017728084812,0.133105016276036,NA,NA,NA,NA,NA,NA,NA,NA,-1.99497714063314,0.562988485920542,NA,NA,0,112.610361650971,209.878847816462,4,98,427.757695632925,9.71295499368432,0.00215680631359204,NA,0.958285626572279,0.234555124286584
"33","578","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",NA,NA,0.435709299401376,0.502239122269792,NA,NA,NA,NA,0.583466163188445,0.118079800477269,NA,NA,0.261986271826729,0.175889256850675,-0.0158214498017575,0.114980828856719,NA,NA,-1.99236533654195,0.569711936067383,NA,NA,0,99.154294011124,208.897166209798,5,98,427.794332419596,9.74959178035567,0.0021176567604053,NA,0.960403283332685,0.249737696657448
