"","model","formula","lam(Fen_500)","SElam(Fen_500)","lam(Int)","SElam(Int)","lam(S150.VPD__100.150cm_Grid.1x1m.mean)","SElam(S150.VPD__100.150cm_Grid.1x1m.mean)","lam(S150.VPD__150.200cm_Grid.1x1m.mean)","SElam(S150.VPD__150.200cm_Grid.1x1m.mean)","lam(S150.VPD__3.4m_Grid.1x1m.mean)","SElam(S150.VPD__3.4m_Grid.1x1m.mean)","lam(Species_Sali_Spp_v1_500)","SElam(Species_Sali_Spp_v1_500)","lam(SpeciesGroups_Broadleaf_Spp_v1_500)","SElam(SpeciesGroups_Broadleaf_Spp_v1_500)","lam(Swamp_500)","SElam(Swamp_500)","lam(Tremblingaspen_500)","SElam(Tremblingaspen_500)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"35","28","~1 ~ Fen_500 + Swamp_500 + 1",0.652420747041551,0.167395558632102,-0.844261868600548,0.201211573328693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.611639173064485,0.234862664022231,NA,NA,-0.543732764428582,0.255282371063503,NA,NA,0,5.68434471126167,158.079153541793,4,98,324.158307083586,7.14002249894656,0.00408566966552974,NA,0.935018200825066,0.117020351966939
"36","248","~1 ~ Fen_500 + S150.VPD__150.200cm_Grid.1x1m.mean + Swamp_500 + 1",0.664552210637187,0.162638182617813,-0.853580893473825,0.204691935043534,NA,NA,0.214080251915256,0.149924470607085,NA,NA,NA,NA,NA,NA,-0.60071797982325,0.228316314471534,NA,NA,-0.56651971823076,0.261845341106851,NA,NA,0,6.28513008533181,157.080286770059,5,98,324.160573540117,7.14228895547842,0.00408104229161018,NA,0.939099243116676,0.134837703347355
"37","369","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.924298341748408,0.215561457750192,0.350733514454221,0.164898328136554,NA,NA,NA,NA,-0.366474665311212,0.317333996100443,NA,NA,NA,NA,0.413937748912808,0.149273398412793,-0.509187429857574,0.247681932131658,NA,NA,0,8.52435020573186,157.124507668144,5,98,324.249015336287,7.23073075164825,0.00390450697818811,NA,0.943003750094864,0.134056570238105
"38","37","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + 1",NA,NA,-0.885741923801949,0.201624228946634,0.318390247972604,0.160345472151608,NA,NA,NA,NA,NA,NA,0.47243232491833,0.142684982589094,NA,NA,NA,NA,-0.482130827294788,0.241080632900575,NA,NA,0,5.26987393897206,158.129148305224,4,98,324.258296610447,7.24001202580814,0.00388642955614595,NA,0.94689017965101,0.116118986935269
"39","359","~1 ~ S150.VPD__100.150cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.899075777863658,0.203908481452093,0.179884828700858,0.223131448525476,NA,NA,0.264714802165727,0.2019237325445,NA,NA,NA,NA,NA,NA,0.422944997533913,0.143100067099769,-0.493229543929553,0.244056916664383,NA,NA,0,7.36285656450262,157.192075724944,5,98,324.384151449888,7.36586686524885,0.00364940253274006,NA,0.95053958218375,0.132861662598025
"40","479","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + SpeciesGroups_Broadleaf_Spp_v1_500 + Tremblingaspen_500 + 1",NA,NA,-0.893416203363385,0.203368953658132,NA,NA,0.314232336703667,0.164765269536155,NA,NA,NA,NA,0.310440378233039,0.169973058576168,NA,NA,0.288744268479182,0.167075436613815,-0.491698152233603,0.242673574809072,NA,NA,0,8.53535709603218,157.225074301166,5,98,324.450148602332,7.43186401769327,0.00353094269716208,NA,0.954070524880912,0.132277499991753
"41","589","~1 ~ S150.VPD__3.4m_Grid.1x1m.mean + Swamp_500 + Tremblingaspen_500 + 1",NA,NA,-0.898489300316912,0.202912149196449,NA,NA,NA,NA,0.366550015331318,0.152745324737287,NA,NA,NA,NA,-0.129099213736021,0.217400371094271,0.381511778486973,0.135299371169991,-0.483589951757936,0.241162726258365,NA,NA,0,6.27787025002143,157.299995537216,5,98,324.599991074433,7.5817064897937,0.00327606711371543,NA,0.957346591994628,0.13094973328695
"42","256","~1 ~ Fen_500 + S150.VPD__3.4m_Grid.1x1m.mean + Species_Sali_Spp_v1_500 + 1",0.192156704375727,0.113022285251365,-0.93468406042198,0.215006598831595,NA,NA,NA,NA,0.382715708411475,0.152663760666616,-0.4880581961168,0.318870788938083,NA,NA,NA,NA,NA,NA,-0.478728230920314,0.241828801199233,NA,NA,0,10.846453181992,157.420536672861,5,98,324.841073345721,7.82278876108205,0.0029040389709436,NA,0.960250630965571,0.128809217709887
"43","459","~1 ~ S150.VPD__150.200cm_Grid.1x1m.mean + S150.VPD__3.4m_Grid.1x1m.mean + Tremblingaspen_500 + 1",NA,NA,-0.895766889157237,0.201483964692758,NA,NA,-0.0976957428373856,0.289607606564204,0.43852596577819,0.258328693561086,NA,NA,NA,NA,NA,NA,0.363001338720701,0.14807400350944,-0.476293730770583,0.239669271533406,NA,NA,0,13.3420571923956,157.454210540096,5,98,324.908421080192,7.89013649555312,0.00280787690901925,NA,0.96305850787459,0.128210310662072
"44","269","~1 ~ Fen_500 + Species_Sali_Spp_v1_500 + Tremblingaspen_500 + 1",0.255301938571566,0.118837226552661,-0.910353713439112,0.212854781669235,NA,NA,NA,NA,NA,NA,-0.301331060209222,0.319718297299974,NA,NA,NA,NA,0.396998882688537,0.15441407998011,-0.502066810420989,0.24437623634857,NA,NA,0,9.72271114707588,157.471521652029,5,98,324.943043304057,7.92475871941798,0.00275968774497741,NA,0.965818195619568,0.127902263416014
