"","p.Int.","lam.Int.","p.Julian.","lam.Blackspruce_150.","lam.Jackpine_150.","lam.S150.VPD__100.150cm_Grid.1x1m.mean.","lam.S150.VPD__3.4m_Grid.1x1m.mean.","lam.Species_Pice_Mar_v1_50.","lam.SpeciesGroups_Needleleaf_Spp_v1_50.","lam.Structure_Biomass_TotalDead_v1_50.","lam.Tamarack_150.","R.2","df","logLik","AIC","delta","weight"
"266",-2.31967656073622,0.701245775950564,NA,0.393871016646109,NA,0.403792254718965,NA,NA,NA,NA,0.368115449661729,0.28492449081529,5,-206.543464008249,423.086928016498,5.04218737725751,0.022285845553789
"400",-2.37053119763476,0.762250074300068,NA,NA,NA,NA,0.646143132855456,NA,NA,-0.0664654417014947,0.280496337308588,0.284622324740676,5,-206.564165332889,423.128330665777,5.0835900265364,0.0218292414907457
"56",-2.19921395979765,0.600177282507307,NA,NA,NA,0.37990355586779,0.382947870555027,-0.105601850323834,NA,NA,NA,0.283861821118716,5,-206.616228578816,423.232457157633,5.18771651839199,0.0207218184763692
"276",-2.38433643593014,0.775435761147522,NA,NA,-0.0234943210890405,NA,0.639029893844924,NA,NA,NA,0.263261060507961,0.282863957320758,5,-206.684457440069,423.368914880138,5.32417424089738,0.019355145793276
"25",-2.18474940560067,0.587800011815897,0.0767029938288836,NA,NA,0.364438400000191,0.389772418962865,NA,NA,NA,NA,0.280002245346256,5,-206.879601514123,423.759203028247,5.71446238900603,0.0159237904001158
"28",-2.17874662073884,0.585393665198472,NA,NA,-0.0240678327244245,0.363213820550803,0.403404186909617,NA,NA,NA,NA,0.278301337580101,5,-206.995221582571,423.990443165141,5.94570252590086,0.0141851291667655
"152",-2.15826359306779,0.565392126383898,NA,NA,NA,0.371953002320503,0.404749920532623,NA,NA,-0.0128558163187138,NA,0.278183584148371,5,-207.0032158436,424.0064316872,5.96169104795899,0.0140721816091268
"26",-2.15709750053432,0.564778929710548,NA,-0.000492637853256001,NA,0.369784769802679,0.404075461847451,NA,NA,NA,NA,0.278069156123026,5,-207.010983094018,424.021966188037,5.97722554879601,0.0139633028423465
"112",-2.06599750202761,0.475577422465803,NA,NA,NA,NA,0.516378969322966,-0.280720975410137,0.441956758341069,NA,NA,0.277998345906855,5,-207.015788998172,424.031577996345,5.98683735710432,0.0138963575424096
"80",-1.9949888765976,0.438000947896135,NA,NA,NA,NA,0.583154903102533,NA,0.259316306331512,NA,NA,0.249592790501941,4,-208.906629188264,425.813258376527,7.76851773728663,0.00570182653585834
"16",-1.98790627465664,0.472474123974764,NA,NA,NA,NA,0.605570692566846,NA,NA,NA,NA,0.23027306362251,3,-210.152200303839,426.304400607679,8.25965996843809,0.00446029743299507
"328",-2.04572222089824,0.472233187338749,NA,NA,NA,0.550025670066778,NA,NA,0.268961998499197,NA,0.180245155935486,0.2610360392182,5,-208.153653392479,426.307306784957,8.26256614571673,0.00445382093207172
"264",-2.02598658452903,0.497356412190569,NA,NA,NA,0.582664232643093,NA,NA,NA,NA,0.16006905813846,0.239416849466194,4,-209.566631611147,427.133263222294,9.08852258305382,0.00294698951387737
"84",-2.09281782223455,0.523817590995204,NA,NA,-0.101017800347293,NA,0.563572015132717,NA,0.26141254747533,NA,NA,0.25426188475004,5,-208.600794778869,427.201589557738,9.1568489184977,0.00284801134714146
"81",-2.02459211328651,0.460943862181596,0.094884022077931,NA,NA,NA,0.562719995100407,NA,0.254645689752284,NA,NA,0.252477335623823,5,-208.717911561157,427.435823122313,9.39108248307275,0.00253325286803856
