"","model","formula","lam(Blackspruce_150)","SElam(Blackspruce_150)","lam(Int)","SElam(Int)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(Whitebirch_150)","SElam(Whitebirch_150)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt","r2"
"11","235","~1 ~ Blackspruce_150 + S500.VPD__150.200cm_Grid.1x1m.mean + Whitebirch_150 + 1",-0.933509283662025,0.410905044920996,2.16483692678909,1.94085896366415,0.1084067982375,0.305433309601887,NA,NA,0.225520691266858,0.129169719094978,-5.85330411857739,1.91896739957466,NA,NA,0,817.939856379959,57.3939710905696,5,98,124.787942181139,6.16040114648654,0.0179929270129305,NA,0.910916361664391,0.0856687410199607
"12","15","~Julian + 1 ~ Whitebirch_150 + 1",NA,NA,1.44129032725212,1.56047538836596,NA,NA,NA,NA,0.309816341889878,0.129838713656692,-4.99326630845341,1.50479604759512,0.69175364806644,0.35559631142065,0,676.186289006843,58.5478018359481,4,98,125.095603671896,6.46806263724373,0.015427443849491,NA,0.926343805513882,0.0638829708608868
"13","135","~Julian + 1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + Whitebirch_150 + 1",NA,NA,0.880793345208789,2.62024404861753,-0.401632059288196,0.284744970887151,NA,NA,0.285005202622784,0.138090534444389,-4.51578056331449,2.65513431639713,0.834295305836412,0.381157039785097,0,1120.67792143711,57.5516194749919,5,98,125.103238949984,6.47569791533115,0.0153686597172009,NA,0.941712465231083,0.0827223130388627
"14","234","~1 ~ Blackspruce_150 + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.734273782527615,0.398050891092375,2.33618219406493,5.95554808662799,-0.53442035828639,0.535598294558222,0.548539461050399,0.465738417955954,NA,NA,-5.9883081180519,5.96122106383957,NA,NA,0,2643.78794000887,57.7283334237554,5,98,125.456666847511,6.82912581285821,0.0128792360207989,NA,0.954591701251882,0.0794082639465756
"15","13","~Julian + 1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + 1",NA,NA,0.75836130887518,2.39363100621678,-0.453427356873464,0.282672843927545,NA,NA,NA,NA,-4.2812359360851,2.42794718987312,0.67050500529847,0.33868643026076,0,356.963938420428,58.9312392324972,4,98,125.862478464994,7.23493743034189,0.0105140304130773,NA,0.965105731664959,0.0565288820029741
"16","1","~Julian + 1 ~ 1",NA,NA,3.05559270810895,22.4522478615855,NA,NA,NA,NA,NA,NA,-6.49907123631103,22.4940130801983,0.528745724615079,0.318129420216102,0,32290.3292084366,60.214900931306,3,98,126.429801862612,7.80226082795937,0.00791728937181042,NA,0.97302302103677,0.0314860075301946
"17","345","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + Whitebirch_150 + 1",NA,NA,0.270018073916896,2.30828131272308,-1.08196434461808,0.487840023585422,0.996263027890318,0.460227983021334,0.251343616702169,0.128967630857073,-3.77782482195488,2.34661205486953,NA,NA,0,935.288679206159,58.4736808449628,5,98,126.947361689926,8.31982065527309,0.00611209125705834,NA,0.979135112293828,0.0652979396203577
"18","145","~Julian + 1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + Whitebirch_150 + 1",NA,NA,1.44502633013143,1.55651516459543,NA,NA,0.00663454393909729,0.287407818478624,0.310627943335934,0.134893745599018,-4.99679952265746,1.49979584153703,0.68990186451699,0.364260249790806,0,703.851982613207,58.5475313026216,5,98,127.095062605243,8.46752157059065,0.00567697502526754,NA,0.984812087319095,0.0638881392313932
"19","34","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,0.283239825065015,2.1838583631847,-1.03241711339148,0.488229368560391,0.830196635336106,0.451627194253337,NA,NA,-3.72798692312063,2.22404907745622,NA,NA,0,282.10463896623,59.6830379654798,4,98,127.36607593096,8.73853489630697,0.00495755096646255,NA,0.989769638285558,0.041941745986385
"20","5","~1 ~ Whitebirch_150 + 1",NA,NA,0.7766309598943,3.16283638661889,NA,NA,NA,NA,0.201939037301027,0.116891045263898,-4.11744817548206,3.21896834229037,NA,NA,0,1613.42144689604,60.8556342165277,3,98,127.711268433055,9.08372739840291,0.00417166656143073,NA,0.993941304846989,0.0187383714232898
"21","14","~Julian + 1 ~ S500.VPD__50.100cm_Grid.1x1m.mean + 1",NA,NA,1.8608405947873,7.61498835268357,NA,NA,-0.0913118822611491,0.284410733576512,NA,NA,-5.30367231869816,7.65953633169977,0.552249039539863,0.329213251621748,0,3662.02887589632,60.1647137430082,4,98,128.329427486016,9.70188645136373,0.00306251380773506,NA,0.997003818654724,0.0324774791684637
"22","3","~1 ~ S500.VPD__150.200cm_Grid.1x1m.mean + 1",NA,NA,0.30166872747515,1.96319893189459,-0.308997467871806,0.283134288839331,NA,NA,NA,NA,-3.63828701701712,2.01029102559569,NA,NA,0,218.843288796519,61.1866112345629,3,98,128.373222469126,9.7456814344733,0.00299618134527625,NA,1,0.0120878736744555
