"","model","formula","lam(Int)","SElam(Int)","lam(LandCover_NonVeg_v1_50)","SElam(LandCover_NonVeg_v1_50)","lam(Species_Abie_Bal_v1_50)","SElam(Species_Abie_Bal_v1_50)","lam(Species_Pice_Gla_v1_50)","SElam(Species_Pice_Gla_v1_50)","lam(Species_Pinu_Ban_v1_50)","SElam(Species_Pinu_Ban_v1_50)","lam(Species_Popu_Bal_v1_50)","SElam(Species_Popu_Bal_v1_50)","lam(Species_Popu_Tre_v1_50)","SElam(Species_Popu_Tre_v1_50)","lam(SpeciesGroups_Broadleaf_Spp_v1_50)","SElam(SpeciesGroups_Broadleaf_Spp_v1_50)","lam(SpeciesGroups_Needleleaf_Spp_v1_50)","SElam(SpeciesGroups_Needleleaf_Spp_v1_50)","lam(Structure_Biomass_TotalDead_v1_50)","SElam(Structure_Biomass_TotalDead_v1_50)","lam(Structure_Biomass_TotalLiveAboveGround_v1_50)","SElam(Structure_Biomass_TotalLiveAboveGround_v1_50)","lam(Structure_Stand_Age_v1_50)","SElam(Structure_Stand_Age_v1_50)","lam(Structure_Stand_CrownClosure_v1_50)","SElam(Structure_Stand_CrownClosure_v1_50)","p(Int)","SEp(Int)","p(Julian)","SEp(Julian)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"21","1/11/15","~Julian + 1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Stand_CrownClosure_v1_50 + 1",-0.0322703569419284,0.388698776707128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477878150781415,0.230339094732605,NA,NA,NA,NA,NA,NA,-0.204212298216695,0.197790503348737,-2.05430423338479,0.456232014681943,-0.448931208872227,0.187973886632129,0,22.9148375320576,142.189847549907,5,98,294.379695099813,3.26045054535984,0.0202787125380773,NA,0.787896510111184
"22","2/13","~1 ~ LandCover_NonVeg_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + 1",-0.231822253577464,0.380103438028475,-0.338625555936858,0.234479633742267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.546066862985188,0.209219662187682,NA,NA,NA,NA,-1.80747270133088,0.4424657940661,NA,NA,0,21.8025838719138,143.296853192849,4,98,294.593706385697,3.47446183124384,0.0182208410112138,NA,0.806117351122398
"23","1/4/11","~Julian + 1 ~ Species_Pice_Gla_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.0320747818932563,0.384583155983704,NA,NA,NA,NA,-0.166539326623311,0.188696978899454,NA,NA,NA,NA,NA,NA,NA,NA,0.395205218244789,0.216091314965415,NA,NA,NA,NA,NA,NA,NA,NA,-2.04390037999175,0.451231012327364,-0.449609730661888,0.188159689291171,0,22.9677895853893,142.302141934629,5,98,294.604283869258,3.48503931480457,0.0181247300650974,NA,0.824242081187495
"24","1/3/11","~Julian + 1 ~ Species_Abie_Bal_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.467794938465592,NA,NA,NA,-4.44723284565535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418805950260073,0.21869046702606,NA,NA,NA,NA,NA,NA,NA,NA,-2.0344694818784,0.448937344073183,-0.451095053769101,0.188270299407865,0,-1076336369.27777,142.308828187442,5,98,294.617656374883,3.49841182042996,0.018003947778147,NA,0.842246028965642
"25","1/7/8","~Julian + 1 ~ Species_Popu_Bal_v1_50 + Species_Popu_Tre_v1_50 + 1",-0.0496421580195391,0.382263698653976,NA,NA,NA,NA,NA,NA,NA,NA,-0.245425661905184,0.278391488435014,-0.344687767282823,0.226919983106618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03726386614004,0.448398864115617,-0.452716503649499,0.188749942369949,0,22.6994674794442,142.33049745322,5,98,294.66099490644,3.54175035198654,0.0176180120223706,NA,0.859864040988013
"26","11/13/14","~1 ~ SpeciesGroups_Needleleaf_Spp_v1_50 + Structure_Biomass_TotalLiveAboveGround_v1_50 + Structure_Stand_Age_v1_50 + 1",-0.268600932904886,0.381513015620492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576679667723958,0.27825564668056,NA,NA,-0.325743049959435,0.194975715109508,-0.262836760751674,0.228120096110343,NA,NA,-1.81005350707618,0.44000040668385,NA,NA,0,22.9792054627782,142.395816799236,5,98,294.791633598471,3.67238904401802,0.0165039945090214,NA,0.876368035497034
"27","1/7/11","~Julian + 1 ~ Species_Popu_Bal_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.0414172182375521,0.380440935241754,NA,NA,NA,NA,NA,NA,NA,NA,-0.209890861060375,0.29168556638349,NA,NA,NA,NA,0.336666509392941,0.232399560643095,NA,NA,NA,NA,NA,NA,NA,NA,-2.03731708606477,0.44629436942307,-0.462738974229065,0.188814684277938,0,22.4432930532733,142.419477324882,5,98,294.838954649763,3.71971009530989,0.0161180847408449,NA,0.892486120237879
"28","1/3/10","~Julian + 1 ~ Species_Abie_Bal_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.456749586199089,NA,NA,NA,-4.2503629969329,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.403547143949318,0.213840116608313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02332932748503,0.448205914649877,-0.438289358792159,0.188366032177703,0,-4493263505.32815,142.422037629271,5,98,294.844075258541,3.72483070408788,0.0160768703209847,NA,0.908562990558864
"29","1/2/8","~Julian + 1 ~ LandCover_NonVeg_v1_50 + Species_Popu_Tre_v1_50 + 1",-0.0199967174151721,0.388238392239583,-0.15973265757249,0.206592892406555,NA,NA,NA,NA,NA,NA,NA,NA,-0.408246178693149,0.220165460708286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.05662091574389,0.456403201451448,-0.453272326217981,0.187950307064838,0,23.1501685207251,142.432014251085,5,98,294.86402850217,3.74478394771648,0.0159172749011566,NA,0.92448026546002
"30","1/3/8","~Julian + 1 ~ Species_Abie_Bal_v1_50 + Species_Popu_Tre_v1_50 + 1",-0.475340134259981,407.551092830792,NA,NA,-4.43170037445501,4034.54949480516,NA,NA,NA,NA,NA,NA,-0.407740152202378,0.21816745827608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0246284259511,0.449044777391224,-0.436462626789968,0.188557164566761,0,1108568227.02248,142.435481855184,5,98,294.870963710367,3.75171915591386,0.0158621756798229,NA,0.940342441139843
"31","1/3/12","~Julian + 1 ~ Species_Abie_Bal_v1_50 + Structure_Biomass_TotalDead_v1_50 + 1",-0.511589502332539,662.408359493759,NA,NA,-4.45737771145928,6557.50936512626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.289335240810263,0.130525949902678,NA,NA,NA,NA,NA,NA,-1.96116021684474,0.440134068053659,-0.395414697059261,0.189351664702255,0,3460921345.71119,142.463937010052,5,98,294.927874020104,3.80862946565031,0.0154171763031694,NA,0.955759617443013
"32","1/7/10","~Julian + 1 ~ Species_Popu_Bal_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.0494055254327589,0.380083582432969,NA,NA,NA,NA,NA,NA,NA,NA,-0.216571797927743,0.288633782316106,NA,NA,-0.328092997822406,0.22741784502501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.0294997847792,0.446093834246191,-0.452615826500865,0.1888132182246,0,22.4774323728805,142.486220020453,5,98,294.972440040905,3.85319548645214,0.0150774344959873,NA,0.970837051939
"33","1/8/11","~Julian + 1 ~ Species_Popu_Tre_v1_50 + SpeciesGroups_Needleleaf_Spp_v1_50 + 1",-0.0272248579278474,0.383812174512407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.235178329093916,0.342730603689861,NA,NA,0.218470798786126,0.322793723782856,NA,NA,NA,NA,NA,NA,NA,NA,-2.04562259732548,0.451304372706293,-0.455488324962084,0.188400767201419,0,24.7896629864464,142.519430684069,5,98,295.038861368138,3.91961681368491,0.0145849264175456,NA,0.985421978356546
"34","1/2/10","~Julian + 1 ~ LandCover_NonVeg_v1_50 + SpeciesGroups_Broadleaf_Spp_v1_50 + 1",-0.0220010116011753,0.385905286938231,-0.139653152303151,0.203474492585366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.392884472709165,0.214397750749952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04935678865983,0.453816800846121,-0.454249791289552,0.188036834999417,0,22.8611563288494,142.519904214674,5,98,295.039808429348,3.92056387489504,0.0145780216434542,NA,1
