,SS,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150
59,BG_15_62,23150.78469,836.7306835,712.1512341,0,0,0,45401.06417,0,0,0,0,0,0,0,0,578.9211113,0,0,0,0,0,0,0,0,0,0,0,82.05263158
60,BG_15_63,888.6223562,0,0,0,0,0,36919.61228,0,0,11681.47607,0,0,640.2113926,1653.006312,0,18897.02975,0,0,0,0,0,0,0,0,0,0,0,80.19047619
61,BG_15_64,24452.87566,0,0,0,0,0,6790.084463,0,0,0,0,0,175.8176244,0,0,21159.6476,0,18101.16962,0,0,0,0,0,0,0,0,0,88.75609756
62,BG_15_65,42015.44924,0,0,0,2384.895728,0,6631.549085,0,0,904.9833006,0,0,10332.70152,0,0,1678.643854,0,0,0,6731.588414,0,0,0,0,0,0,0,90.3
63,BG_15_66,33361.07699,16256.49914,0,0,0,1314.269171,19747.80366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.02150538
64,BG_15_67,21030.59003,0,0,159.1695,460.4058864,478.6989435,10363.03964,0,0,6289.750286,4488.29635,0,0,24591.39339,0,0,0,0,0,2818.215286,0,0,0,0,0,0,0,85.20689655
65,BG_15_68,3859.062036,0,0,0,0,0,24898.85475,0,0,0,0,0,0,0,0,34590.91765,0,0,2334.457989,0,0,0,0,4996.015721,0,0,0,92.07692308
66,BG_15_69,17934.70522,0,0,0,0,0,0,0,6592.557513,1955.316072,0,0,0,0,0,38937.99049,0,0,0,0,0,0,0,5259.514005,0,0,0,94.96774194
67,BG_15_7,29658.44873,23702.81457,0,0,0,5198.614807,12118.85195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.43478261
68,BG_15_70,68642.48555,408.6537697,0,0,0,0,0,0,0,0,0,0,0,85.25529257,0,1543.280747,0,0,0,0,0,0,0,0,0,0,0,76.48031496
69,BG_15_71,70678.4453,0,0,0,0,0,0.253993865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.25
