SS,Blackspruce_50,BlackspruceMixCD_50,Bog_50,Fen_50,GrassHerb_50,Jackpine_50,JackpineMixCD_50,JackpineMixWet_50,Shrub_50,Swamp_50,Tamarack_50,TamarackMixCD_50,TamarackMixDC_50,Tremblingaspen_50,TremblingaspenMixCD_50,TremblingaspenMixD_50,TremblingaspenMixDC_50,Water_50,Whitebirch_50,WhitebirchMixD_50,Whitespruce_50,WhitespruceMixWet_50,wtage_50,Blackspruce_150,BlackspruceMixCD_150,BlackspruceMixDC_150,Bog_150,Fen_150,GrassHerb_150,Jackpine_150,JackpineMixC_150,JackpineMixCD_150,JackpineMixWet_150,Shrub_150,Swamp_150,Tamarack_150,TamarackMixCD_150,TamarackMixDC_150,Tremblingaspen_150,TremblingaspenMixCD_150,TremblingaspenMixD_150,TremblingaspenMixDC_150,Water_150,Whitebirch_150,WhitebirchMixD_150,WhitebirchMixDC_150,Whitespruce_150,WhitespruceMixC_150,WhitespruceMixCD_150,WhitespruceMixWet_150,wtage_150,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
BG_15_28,0,0,0,0,2467.591162,0,0,0,0,0,4294.326866,0,0,1090.302991,0,0,0,0,0,0,0,0,89,110.805947,0,0,0,0,20286.94838,0,0,0,9337.325515,0,0,26284.49509,0,0,14659.57803,0,0,0,0,0,0,0,0,0,0,0,87.26086957,98886.80105,23122.87825,0,0,0,267164.5353,66291.77499,0,2079.819291,18742.60359,0,0,4159.469838,139822.2385,0,0,46085.22707,0,0,0,119020.0552,0,0,0,0,0,0,0,0,87.30508475
BG_15_29,744.9566004,0,0,0,0,1095.320451,0,170.3315695,0,0,0,0,0,5841.47937,0,0,0,0,0,0,0,0,86,29268.09016,1675.963803,0,0,0,0,12621.82722,0,0,4199.817167,0,0,0,0,0,22913.76065,0,0,0,0,0,0,0,0,0,0,0,87.33333333,242102.2429,58940.07499,0,0,0,57731.94326,40500.68123,0,16342.48242,29673.44893,0,0,5071.395023,68807.84474,11941.14433,0,187090.4056,0,0,16289.99837,31895.18669,16042.70442,0,0,0,2947.207137,0,0,0,87.33333333
BG_15_3,3230.879478,0,0,0,0,0,0,0,0,0,0,0,0,4620.608318,0,0,0,0,0,0,0,0,109,40910.77701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29768.53494,0,0,0,0,0,0,0,0,0,0,0,117.8235294,486432.1223,635.6446428,0,0,0,0,13581.99232,1529.087139,4839.466681,0,0,0,0,0,0,0,139726.243,0,0,72238.34767,0,0,0,0,0,26188.74305,0,0,40206.73861,115.4556962
BG_15_30,0,0,0,0,0,0,1495.966877,0,0,0,0,0,0,6355.973043,0,0,0,0,0,0,0,0,85.66666667,10525.58939,0,0,0,0,0,0,0,13781.55214,0,0,0,0,0,0,46372.2479,0,0,0,0,0,0,0,0,0,0,0,87.0952381,252095.0705,47391.53966,0,0,0,0,21699.25997,0,44225.17202,12968.99684,0,0,0,0,21264.52297,0,304871.214,0,0,10244.15075,0,15790.05179,0,0,0,22611.62788,0,0,32215.86436,87.49642005
BG_15_31,0,811.0748168,0,0,0,6054.044578,0,0,0,0,0,0,0,986.5432148,0,0,0,0,0,0,0,0,85,0,12922.50237,0,0,0,0,30637.47249,0,0,0,0,0,0,0,0,27119.88076,0,0,0,0,0,0,0,0,0,0,0,85.66666667,7047.971384,63942.87225,0,0,0,0,289699.3318,0,0,38495.87317,0,0,0,34310.89657,2587.452337,0,333011.784,0,0,0,0,16280.62375,0,0,0,0,0,0,0,84.22727273
BG_15_32,0,0,0,0,0,7838.037235,0,0,0,0,0,0,0,14.40059498,0,0,0,0,0,0,0,0,84,5723.709093,4924.858891,0,0,0,0,33689.81472,0,0,0,0,0,0,0,0,26339.66781,0,0,0,0,0,0,0,0,0,0,0,87.33333333,121420.0753,124267.6593,0,0,0,0,255026.3841,0,0,0,0,0,0,0,0,0,226453.8494,0,0,0,0,0,43321.51795,0,14884.09955,0,0,0,0,85.13043478
BG_15_33,4606.106522,0,0,0,0,0,0,0,0,0,0,0,0,3246.819018,0,0,0,0,0,0,0,0,97.33333333,35729.38688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34946.81637,0,0,0.781475688,0,0,3.111972143,0,0,0,0,0,94.83333333,366516.2303,16526.66951,0,0,0,0,40512.81501,0,0,36156.98999,0,0,0,0,0,0,244413.0243,0,0,12888.14606,0,0,53478.76037,0,14884.09955,0,0,0,0,92.79807692
BG_15_34,7853.981634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,55953.58968,0,0,0,0,0,14726.08955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.3333333,497575.5875,22120.68406,0,0,0,791.0416877,143379.2155,0,0,36701.24435,0,0,0,0,0,9372.333553,44421.41521,30208.80374,0,807.3426341,0,0,0,0,0,0,0,0,0,97.76623377
BG_15_35,308.5139419,0,0,0,0,4889.086032,0,0,0,0,0,0,696.4824149,0,1958.626809,0,0,0,0,0,0,0,89.90909091,6562.045229,0,0,0,0,0,36184.80166,0,0,0,0,0,0,0,11150.31109,0,16782.42906,0,0,0,0,0,0,0,0,0,0,85.38888889,169561.0195,35386.45799,0,0,18.27591743,26745.3411,342828.3592,0,0,0,0,29834.16185,0,0,0,41940.69837,53475.65174,75498.61215,0,0,10090.05606,0,0,0,0,0,0,0,0,90.10144928
BG_15_36,0,0,0,0,0,5315.179773,0,2536.794913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,45187.2366,0,0,12401.76893,0,0,4706.023686,0,0,8384.780312,0,0,0,0,0,0,0,0,0,0,0,83.23076923,49314.10864,0,0,0,0,0,328296.3919,0,0,27660.47527,0,40277.84166,0,244315.7284,6101.844255,389.2143606,70354.642,0,0,0,18628.69753,0,0,0,0,0,0,0,0,84.24390244
