"","Blackspruce_50","BlackspruceMixCD_50","Bog_50","Fen_50","GrassHerb_50","Jackpine_50","JackpineMixCD_50","JackpineMixWet_50","Shrub_50","Swamp_50","Tamarack_50","TamarackMixCD_50","TamarackMixDC_50","Tremblingaspen_50","TremblingaspenMixCD_50","TremblingaspenMixD_50","TremblingaspenMixDC_50","Water_50","Whitebirch_50","WhitebirchMixD_50","Whitespruce_50","WhitespruceMixWet_50","wtage_50","Blackspruce_150","BlackspruceMixCD_150","BlackspruceMixDC_150","Bog_150","Fen_150","GrassHerb_150","Jackpine_150","JackpineMixC_150","JackpineMixCD_150","JackpineMixWet_150","Shrub_150","Swamp_150","Tamarack_150","TamarackMixCD_150","TamarackMixDC_150","Tremblingaspen_150","TremblingaspenMixCD_150","TremblingaspenMixD_150","TremblingaspenMixDC_150","Water_150","Whitebirch_150","WhitebirchMixD_150","WhitebirchMixDC_150","Whitespruce_150","WhitespruceMixC_150","WhitespruceMixCD_150","WhitespruceMixWet_150","wtage_150","Blackspruce_500","BlackspruceMixCD_500","BlackspruceMixDC_500","Bog_500","Fen_500","GrassHerb_500","Jackpine_500","JackpineMixC_500","JackpineMixCD_500","JackpineMixWet_500","Marsh_500","Shrub_500","Swamp_500","Tamarack_500","TamarackMixCD_500","TamarackMixDC_500","Tremblingaspen_500","TremblingaspenMixCD_500","TremblingaspenMixD_500","TremblingaspenMixDC_500","Water_500","Whitebirch_500","WhitebirchMixD_500","WhitebirchMixDC_500","WhitebirchMixWet_500","Whitespruce_500","WhitespruceMixC_500","WhitespruceMixCD_500","WhitespruceMixWet_500","wtage_500"
"Blackspruce_50",1,-0.2,-0.11,-0.06,-0.1,-0.34,-0.04,-0.23,-0.14,-0.08,-0.23,-0.1,-0.07,-0.18,-0.07,-0.01,-0.09,-0.13,-0.08,0.14,-0.1,-0.07,0.27,0.9,-0.19,-0.05,-0.11,-0.06,-0.07,-0.24,0.07,-0.04,-0.19,-0.17,0.01,-0.22,-0.11,-0.07,-0.29,-0.07,-0.01,-0.12,-0.11,-0.08,0.14,0.19,-0.11,-0.08,-0.08,-0.1,0.2,0.59,-0.14,-0.11,-0.09,-0.12,-0.03,-0.11,0.09,-0.01,-0.15,-0.11,-0.27,-0.13,-0.21,-0.17,-0.02,-0.11,-0.01,-0.01,0.06,-0.05,-0.16,0.08,0.07,0.14,-0.1,-0.11,-0.03,-0.07,0.18
"BlackspruceMixCD_50",-0.2,1,0.03,0.07,-0.05,-0.17,-0.08,-0.09,-0.07,0.08,-0.1,-0.02,-0.04,-0.1,-0.04,-0.04,-0.07,-0.07,-0.04,-0.04,-0.05,-0.03,0.09,-0.24,0.88,-0.04,0.03,0.02,-0.07,-0.17,-0.04,-0.08,-0.07,-0.05,0.02,-0.09,-0.05,-0.04,-0.05,-0.04,-0.04,0.03,-0.07,-0.04,-0.05,-0.04,-0.07,-0.04,-0.04,0.08,0.1,-0.19,0.66,-0.07,-0.07,-0.06,-0.11,-0.15,-0.05,0.1,0.04,0.01,0,-0.06,-0.15,-0.07,-0.04,-0.01,-0.01,-0.05,0.02,-0.03,-0.03,-0.02,0.12,-0.01,-0.11,-0.06,0.18,0.06,0.07
"Bog_50",-0.11,0.03,1,0.65,-0.02,0.1,-0.03,-0.05,-0.03,0.56,0.01,0.01,-0.02,-0.07,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.04,-0.12,0.13,-0.02,1,0.68,-0.03,0.06,-0.02,-0.04,0.07,-0.03,0.11,0,-0.01,-0.02,-0.05,-0.02,-0.02,-0.03,-0.04,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.04,-0.11,0.23,-0.03,0.15,0.1,0,-0.02,-0.03,-0.04,0.14,-0.03,-0.06,-0.01,0.03,-0.06,-0.02,-0.01,-0.02,-0.02,-0.02,-0.05,-0.04,-0.05,-0.04,-0.03,0,-0.02,-0.04,-0.05,-0.07
"Fen_50",-0.06,0.07,0.65,1,-0.02,-0.05,-0.03,-0.04,-0.02,0.98,0.06,-0.01,-0.01,-0.06,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01,-0.06,-0.05,0.12,-0.01,0.64,0.69,-0.02,-0.08,-0.01,-0.03,0.1,-0.03,0.21,0.07,-0.02,-0.01,-0.09,-0.01,-0.01,-0.03,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,-0.05,-0.03,0.06,-0.02,0.08,0.11,0.04,-0.07,-0.02,-0.01,0.11,-0.03,-0.06,0.02,0.13,-0.06,-0.02,-0.07,-0.02,-0.02,0.02,-0.05,-0.03,-0.04,-0.03,-0.03,0.05,-0.02,0.01,-0.04,-0.06
"GrassHerb_50",-0.1,-0.05,-0.02,-0.02,1,-0.07,-0.03,-0.05,-0.02,-0.01,0.07,-0.03,-0.01,-0.04,-0.01,-0.01,-0.03,0.12,-0.01,-0.01,-0.02,-0.01,-0.01,-0.12,-0.07,-0.01,-0.02,-0.03,0.96,-0.05,-0.01,-0.03,-0.04,-0.03,-0.02,0.18,-0.03,-0.01,-0.05,-0.01,-0.01,-0.03,0.07,-0.01,-0.02,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04,-0.08,-0.02,-0.05,0.06,0.47,0.01,-0.02,0.05,-0.12,-0.03,0.01,0.09,0.15,-0.06,-0.02,-0.13,-0.02,-0.02,-0.06,0.01,-0.04,-0.04,-0.03,-0.03,-0.05,-0.02,-0.04,-0.04,-0.07
"Jackpine_50",-0.34,-0.17,0.1,-0.05,-0.07,1,-0.13,-0.16,0.07,-0.06,-0.17,-0.07,0.14,-0.08,0.14,-0.06,-0.05,-0.03,-0.06,-0.06,-0.08,-0.07,-0.17,-0.28,-0.14,0.23,0.1,-0.05,-0.09,0.86,-0.06,-0.15,-0.14,-0.07,-0.11,-0.16,-0.06,0.14,0.1,0.14,-0.06,-0.04,-0.07,-0.06,-0.08,-0.06,-0.06,-0.06,-0.06,-0.09,-0.16,-0.07,-0.06,0.27,-0.02,0.03,-0.13,0.45,-0.1,-0.15,-0.07,-0.12,0.06,-0.1,-0.03,-0.11,0.12,0.08,0.1,-0.07,-0.05,-0.13,-0.01,0.02,-0.04,0.05,-0.08,-0.1,-0.11,-0.15,-0.22
"JackpineMixCD_50",-0.04,-0.08,-0.03,-0.03,-0.03,-0.13,1,-0.06,-0.04,-0.02,-0.07,-0.05,-0.02,0.05,-0.02,-0.02,0.02,-0.04,-0.02,-0.02,0.05,-0.02,0.08,-0.02,-0.09,-0.02,-0.03,-0.05,-0.04,-0.16,-0.02,0.96,-0.09,-0.05,-0.04,-0.09,-0.05,-0.02,0.01,-0.02,-0.02,0.06,-0.02,-0.02,-0.03,-0.02,0.04,-0.02,-0.02,0.01,0.12,0,-0.02,-0.04,-0.04,-0.06,-0.07,-0.11,-0.02,0.55,-0.09,-0.04,-0.04,-0.06,-0.1,-0.08,-0.03,0.05,-0.03,-0.02,0.08,0.02,0.03,-0.06,-0.05,-0.05,0.15,-0.03,-0.06,0.3,0.15
"JackpineMixWet_50",-0.23,-0.09,-0.05,-0.04,-0.05,-0.16,-0.06,1,0,-0.03,-0.08,-0.02,-0.04,-0.07,-0.04,-0.04,-0.07,-0.06,-0.04,0.03,-0.05,-0.04,-0.13,-0.23,-0.02,-0.04,-0.05,-0.08,-0.07,-0.12,-0.04,-0.08,0.88,0.09,-0.07,-0.03,0.04,-0.04,-0.04,-0.04,-0.04,-0.09,-0.09,-0.04,0.06,-0.04,-0.06,0.3,-0.04,-0.05,-0.13,-0.22,0,0.07,-0.02,0,-0.09,-0.03,0.03,-0.06,0.44,0.13,0.16,0.01,0.02,0.42,-0.05,0.04,-0.06,-0.05,-0.14,-0.1,-0.09,0,-0.1,-0.09,0.11,0.22,-0.09,0.06,-0.12
"Shrub_50",-0.14,-0.07,-0.03,-0.02,-0.02,0.07,-0.04,0,1,-0.02,0.1,-0.04,-0.02,-0.03,-0.02,-0.02,-0.03,-0.02,0.02,-0.02,-0.01,-0.02,-0.03,-0.15,-0.1,-0.02,-0.03,-0.04,-0.03,-0.02,-0.02,-0.05,0.09,0.74,-0.03,0.17,-0.04,-0.02,-0.06,-0.02,-0.02,-0.04,0.07,0.02,-0.02,-0.02,-0.02,0.17,-0.02,-0.03,0.02,-0.09,-0.06,-0.03,-0.05,-0.03,0.06,-0.05,-0.03,-0.1,0.14,-0.04,0.47,-0.06,0.12,-0.07,-0.02,-0.11,-0.03,-0.02,-0.01,0.1,-0.04,-0.06,0.03,-0.04,0.07,0.12,-0.05,-0.03,0.03
"Swamp_50",-0.08,0.08,0.56,0.98,-0.01,-0.06,-0.02,-0.03,-0.02,1,0.07,-0.02,-0.01,-0.05,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.06,-0.05,0.13,-0.01,0.54,0.6,-0.02,-0.09,-0.01,-0.03,0.1,-0.02,0.22,0.07,-0.02,-0.01,-0.08,-0.01,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.05,-0.03,0.04,-0.02,0.07,0.1,0.04,-0.09,-0.02,0.01,0.1,-0.02,-0.05,0.03,0.15,-0.04,-0.01,-0.07,-0.02,-0.01,0.03,-0.04,-0.03,-0.03,-0.03,-0.02,0.06,-0.02,-0.03,-0.03,-0.06
"Tamarack_50",-0.23,-0.1,0.01,0.06,0.07,-0.17,-0.07,-0.08,0.1,0.07,1,-0.08,-0.03,-0.13,-0.03,-0.03,-0.06,-0.05,-0.03,-0.03,-0.04,0.18,-0.1,-0.2,-0.06,-0.03,0.01,0.3,0.11,-0.15,-0.03,-0.09,-0.11,0.21,0.34,0.9,-0.08,-0.03,-0.13,-0.03,-0.03,-0.08,-0.04,-0.03,-0.04,-0.03,-0.06,-0.03,-0.03,0.14,-0.08,-0.3,-0.07,-0.06,0.21,0.24,0.14,0,-0.06,-0.1,0.01,0.13,0.1,0.3,0.7,0.03,-0.04,-0.19,-0.01,-0.04,-0.1,0.01,0.01,-0.11,-0.04,-0.08,-0.02,0.15,-0.09,-0.05,-0.18
"TamarackMixCD_50",-0.1,-0.02,0.01,-0.01,-0.03,-0.07,-0.05,-0.02,-0.04,-0.02,-0.08,1,-0.02,-0.09,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.03,-0.02,0.02,-0.11,-0.02,-0.02,0.01,-0.01,-0.03,-0.04,-0.02,-0.05,-0.03,0.01,-0.03,-0.09,0.95,-0.02,-0.1,-0.02,-0.02,-0.05,0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.02,-0.03,0.02,-0.09,-0.04,-0.04,-0.08,-0.03,-0.02,0.05,-0.04,-0.01,-0.02,-0.04,0.04,-0.01,-0.07,0.47,-0.03,-0.05,-0.03,-0.03,0.06,0.04,0.09,-0.07,-0.06,-0.05,0,-0.04,0.14,-0.07,-0.03
"TamarackMixDC_50",-0.07,-0.04,-0.02,-0.01,-0.01,0.14,-0.02,-0.04,-0.02,-0.01,-0.03,-0.02,1,-0.05,1,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0,-0.07,-0.05,-0.01,-0.02,-0.02,-0.02,0.16,-0.01,-0.03,-0.05,-0.02,-0.02,-0.04,-0.02,1,-0.08,1,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,-0.05,-0.05,-0.02,-0.04,-0.05,0.03,0.22,-0.02,-0.05,-0.11,-0.02,0.11,-0.04,-0.06,-0.04,0.97,-0.05,0.92,-0.01,-0.05,-0.03,-0.03,-0.03,-0.03,-0.02,-0.04,-0.02,-0.03,-0.03,0
"Tremblingaspen_50",-0.18,-0.1,-0.07,-0.06,-0.04,-0.08,0.05,-0.07,-0.03,-0.05,-0.13,-0.09,-0.05,1,-0.05,0.03,-0.09,-0.08,-0.05,-0.05,-0.05,-0.04,0,-0.1,-0.1,-0.05,-0.07,-0.12,-0.05,-0.02,0.17,0.06,-0.1,-0.08,-0.09,-0.17,-0.09,-0.05,0.78,-0.05,0.03,-0.11,-0.13,-0.05,-0.05,-0.05,0.02,0,-0.05,0.01,0.04,0.11,-0.07,0,0,-0.15,-0.06,-0.07,0.14,-0.04,-0.12,-0.05,-0.21,-0.02,-0.15,-0.1,-0.06,0.46,-0.08,0.02,-0.02,-0.15,0.33,0.08,-0.12,0.03,0.21,-0.04,-0.07,0.21,0.06
"TremblingaspenMixCD_50",-0.07,-0.04,-0.02,-0.01,-0.01,0.14,-0.02,-0.04,-0.02,-0.01,-0.03,-0.02,1,-0.05,1,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0,-0.07,-0.05,-0.01,-0.02,-0.02,-0.02,0.16,-0.01,-0.03,-0.05,-0.02,-0.02,-0.04,-0.02,1,-0.08,1,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.03,-0.05,-0.05,-0.02,-0.04,-0.05,0.03,0.22,-0.02,-0.05,-0.11,-0.02,0.11,-0.04,-0.06,-0.04,0.97,-0.05,0.92,-0.01,-0.05,-0.03,-0.03,-0.03,-0.03,-0.02,-0.04,-0.02,-0.03,-0.03,0
"TremblingaspenMixD_50",-0.01,-0.04,-0.02,-0.01,-0.01,-0.06,-0.02,-0.04,-0.02,-0.01,-0.03,-0.02,-0.01,0.03,-0.01,1,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0,0.02,-0.05,-0.01,-0.02,-0.02,-0.02,-0.04,-0.01,-0.03,-0.05,-0.02,-0.02,-0.04,-0.02,-0.01,0.11,-0.01,1,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.04,-0.05,-0.02,-0.04,-0.05,-0.04,0.13,-0.02,-0.05,-0.05,-0.02,-0.05,-0.04,0.03,-0.04,-0.01,0.06,-0.02,0.98,-0.05,-0.04,0.27,-0.03,-0.03,-0.02,-0.04,-0.02,0.37,-0.03,0.02
"TremblingaspenMixDC_50",-0.09,-0.07,-0.03,-0.02,-0.03,-0.05,0.02,-0.07,-0.03,-0.02,-0.06,-0.04,-0.02,-0.09,-0.02,-0.02,1,-0.03,-0.02,-0.02,-0.02,-0.02,0.03,-0.03,-0.1,-0.02,-0.03,-0.04,-0.03,-0.1,-0.02,0.01,0.04,-0.04,-0.03,-0.08,-0.04,-0.02,-0.05,-0.02,-0.02,0.91,-0.03,-0.02,0.06,-0.02,-0.03,-0.02,0.72,-0.03,0.01,-0.02,-0.09,-0.03,0.29,0.2,-0.07,-0.12,-0.03,-0.03,0.22,0.36,0.2,0.19,-0.07,0,-0.02,0.04,-0.03,0.08,0.43,-0.03,-0.05,0.13,0.33,-0.04,-0.06,-0.03,0.3,-0.06,0.02
"Water_50",-0.13,-0.07,-0.03,-0.02,0.12,-0.03,-0.04,-0.06,-0.02,-0.02,-0.05,-0.04,-0.02,-0.08,-0.02,-0.02,-0.03,1,0.13,-0.02,0.02,-0.01,-0.56,-0.14,-0.09,-0.02,-0.03,-0.04,0.15,-0.08,-0.02,-0.04,-0.09,0.02,-0.03,-0.04,-0.04,-0.02,-0.13,-0.02,-0.02,-0.04,0.89,0.13,-0.02,-0.02,0.02,-0.02,-0.02,-0.02,-0.6,-0.16,-0.11,-0.03,-0.06,-0.02,0.48,-0.1,-0.03,-0.04,-0.11,-0.03,0.03,0.05,-0.04,-0.07,-0.02,-0.15,-0.03,-0.02,-0.08,0.53,-0.02,-0.05,-0.04,-0.04,-0.05,-0.02,-0.05,0.07,0.05
"Whitebirch_50",-0.08,-0.04,-0.02,-0.01,-0.01,-0.06,-0.02,-0.04,0.02,-0.01,-0.03,-0.02,-0.01,-0.05,-0.01,-0.01,-0.02,0.13,1,-0.01,0.29,-0.01,0.22,-0.11,-0.05,-0.01,-0.02,-0.02,-0.02,-0.09,-0.01,-0.03,-0.05,0.27,-0.02,-0.04,-0.02,-0.01,-0.08,-0.01,-0.01,-0.02,0.46,1,-0.01,-0.01,0.34,-0.01,-0.01,-0.01,0.25,-0.15,-0.07,-0.02,-0.04,-0.05,-0.04,-0.11,-0.02,-0.05,-0.11,-0.02,0.14,-0.04,-0.06,-0.04,-0.01,-0.12,-0.02,-0.01,-0.05,0.65,0.14,-0.03,-0.03,-0.02,0.02,-0.02,-0.03,-0.03,0.05
"WhitebirchMixD_50",0.14,-0.04,-0.02,-0.01,-0.01,-0.06,-0.02,0.03,-0.02,-0.01,-0.03,-0.02,-0.01,-0.05,-0.01,-0.01,-0.02,-0.02,-0.01,1,-0.01,-0.01,-0.08,0.02,-0.05,-0.01,-0.02,-0.02,-0.02,-0.09,-0.01,-0.03,0.1,-0.02,-0.02,-0.04,-0.02,-0.01,0.02,-0.01,-0.01,-0.01,-0.03,-0.01,0.98,-0.01,-0.02,-0.01,-0.01,-0.01,-0.04,-0.04,-0.09,-0.02,0.03,-0.02,-0.04,-0.14,-0.02,-0.05,0.03,-0.02,-0.05,0.01,-0.06,-0.04,-0.01,0.36,-0.02,-0.01,0.09,-0.04,-0.03,0.61,-0.03,-0.02,-0.04,-0.02,0.24,-0.03,-0.04
"Whitespruce_50",-0.1,-0.05,-0.02,-0.02,-0.02,-0.08,0.05,-0.05,-0.01,-0.01,-0.04,-0.03,-0.01,-0.05,-0.01,-0.01,-0.02,0.02,0.29,-0.01,1,-0.01,0.3,-0.11,-0.07,-0.01,-0.02,-0.03,-0.02,-0.11,-0.01,0.25,-0.07,0.06,-0.02,-0.05,-0.03,-0.01,0.09,-0.01,-0.01,-0.03,0.11,0.29,-0.02,-0.01,0.95,-0.01,-0.01,-0.02,0.32,0.02,-0.09,-0.02,-0.05,0.07,-0.04,-0.14,0.12,0.4,-0.13,-0.03,0,0.06,-0.08,0.04,-0.02,-0.03,-0.02,-0.02,-0.02,0.19,0.01,-0.04,-0.03,-0.03,0.24,-0.02,-0.04,-0.04,0.26
"WhitespruceMixWet_50",-0.07,-0.03,-0.02,-0.01,-0.01,-0.07,-0.02,-0.04,-0.02,-0.01,0.18,-0.02,-0.01,-0.04,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,1,0.04,-0.06,-0.04,-0.01,-0.02,-0.03,-0.02,-0.09,-0.01,-0.03,-0.06,-0.03,-0.02,0.36,-0.03,-0.01,-0.06,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,0.9,0.02,-0.11,-0.09,-0.02,0.1,0.12,0.09,0.03,-0.02,-0.06,0.02,-0.01,-0.01,-0.01,0.29,-0.05,-0.01,-0.05,-0.02,-0.01,-0.05,-0.03,-0.03,-0.03,-0.03,-0.02,-0.03,0.53,-0.03,0.19,-0.05
"wtage_50",0.27,0.09,-0.04,-0.06,-0.01,-0.17,0.08,-0.13,-0.03,-0.06,-0.1,0.02,0,0,0,0,0.03,-0.56,0.22,-0.08,0.3,0.04,1,0.28,0.09,-0.04,-0.04,-0.08,-0.04,-0.19,0.15,0.14,-0.15,0.07,0.08,-0.1,0.01,0,-0.01,0,0,0.07,-0.38,0.22,-0.08,0.04,0.3,-0.03,0,0.05,0.95,0.26,0.04,-0.08,-0.04,-0.07,-0.37,-0.16,0.25,0.22,-0.05,-0.02,-0.06,0.02,-0.14,-0.05,0.06,-0.08,0.08,0,0.23,0.01,-0.01,-0.05,0.05,-0.04,0.08,-0.01,0.03,0.16,0.51
"Blackspruce_150",0.9,-0.24,-0.12,-0.05,-0.12,-0.28,-0.02,-0.23,-0.15,-0.05,-0.2,-0.11,-0.07,-0.1,-0.07,0.02,-0.03,-0.14,-0.11,0.02,-0.11,-0.06,0.28,1,-0.27,0.01,-0.12,-0.1,-0.1,-0.25,0.13,-0.03,-0.23,-0.19,0,-0.23,-0.13,-0.07,-0.26,-0.07,0.02,-0.07,-0.15,-0.11,0.03,0.25,-0.13,-0.11,-0.05,-0.1,0.23,0.74,-0.21,-0.08,-0.13,-0.16,-0.06,-0.18,0.14,0.01,-0.17,-0.1,-0.26,-0.1,-0.23,-0.19,-0.03,-0.13,-0.02,0.02,0.12,-0.07,-0.09,0,0.1,0.08,-0.12,-0.11,-0.05,-0.03,0.21
"BlackspruceMixCD_150",-0.19,0.88,0.13,0.12,-0.07,-0.14,-0.09,-0.02,-0.1,0.13,-0.06,-0.02,-0.05,-0.1,-0.05,-0.05,-0.1,-0.09,-0.05,-0.05,-0.07,-0.04,0.09,-0.27,1,-0.05,0.13,0.15,-0.07,-0.16,-0.04,-0.09,-0.03,-0.1,0.14,-0.09,-0.06,-0.05,-0.1,-0.05,-0.05,-0.03,-0.11,-0.05,-0.07,-0.05,-0.09,-0.05,-0.05,0.04,0.07,-0.22,0.75,-0.06,0.04,0.01,-0.1,-0.11,-0.05,0.07,0.07,0.1,-0.1,0.05,-0.13,-0.03,-0.06,-0.02,-0.02,-0.06,-0.08,-0.08,-0.01,-0.05,0.03,0.06,-0.13,-0.09,0.11,-0.02,0
"BlackspruceMixDC_150",-0.05,-0.04,-0.02,-0.01,-0.01,0.23,-0.02,-0.04,-0.02,-0.01,-0.03,-0.02,-0.01,-0.05,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.04,0.01,-0.05,1,-0.02,-0.02,-0.02,0.22,-0.01,-0.03,-0.05,-0.02,-0.02,-0.04,-0.02,-0.01,-0.07,-0.01,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.06,-0.01,-0.03,0.69,-0.04,0.05,-0.04,0.14,-0.02,-0.05,-0.04,-0.02,-0.05,0.06,-0.04,0.05,-0.01,0.03,-0.02,-0.01,-0.05,-0.04,-0.03,-0.03,-0.03,-0.02,-0.03,-0.02,-0.03,-0.03,-0.12
"Bog_150",-0.11,0.03,1,0.64,-0.02,0.1,-0.03,-0.05,-0.03,0.54,0.01,0.01,-0.02,-0.07,-0.02,-0.02,-0.03,-0.03,-0.02,-0.02,-0.02,-0.02,-0.04,-0.12,0.13,-0.02,1,0.67,-0.03,0.06,-0.02,-0.04,0.07,-0.03,0.11,0,-0.01,-0.02,-0.05,-0.02,-0.02,-0.03,-0.04,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.02,-0.04,-0.12,0.23,-0.02,0.15,0.1,0,-0.02,-0.03,-0.04,0.13,-0.03,-0.06,-0.01,0.03,-0.06,-0.02,-0.01,-0.02,-0.02,-0.02,-0.05,-0.04,-0.05,-0.04,-0.03,0,-0.02,-0.04,-0.05,-0.07
"Fen_150",-0.06,0.02,0.68,0.69,-0.03,-0.05,-0.05,-0.08,-0.04,0.6,0.3,-0.01,-0.02,-0.12,-0.02,-0.02,-0.04,-0.04,-0.02,-0.02,-0.03,-0.03,-0.08,-0.1,0.15,-0.02,0.67,1,-0.04,-0.05,-0.02,-0.06,0.01,-0.05,0.58,0.25,-0.03,-0.02,-0.13,-0.02,-0.02,-0.05,-0.03,-0.02,-0.03,-0.02,-0.04,-0.02,-0.02,-0.03,-0.05,-0.13,0.12,-0.04,0.35,0.39,-0.02,-0.05,-0.02,-0.04,0.15,0.21,-0.09,0.36,0.2,0.04,-0.03,-0.06,-0.01,-0.03,-0.06,-0.07,-0.06,-0.08,-0.06,-0.05,0.07,-0.04,0.05,-0.07,-0.09
"GrassHerb_150",-0.07,-0.07,-0.03,-0.02,0.96,-0.09,-0.04,-0.07,-0.03,-0.02,0.11,-0.03,-0.02,-0.05,-0.02,-0.02,-0.03,0.15,-0.02,-0.02,-0.02,-0.02,-0.04,-0.1,-0.07,-0.02,-0.03,-0.04,1,-0.08,-0.02,-0.05,-0.05,-0.04,-0.03,0.19,-0.04,-0.02,-0.06,-0.02,-0.02,-0.04,0.09,-0.02,-0.02,-0.02,-0.03,-0.02,-0.02,-0.03,-0.05,-0.07,-0.09,-0.03,-0.07,0.02,0.64,-0.02,-0.03,0.04,-0.12,-0.04,-0.01,0.11,0.14,-0.06,-0.02,-0.17,-0.03,-0.02,-0.08,0.08,-0.03,-0.06,-0.05,-0.04,-0.06,-0.03,-0.05,-0.06,-0.05
"Jackpine_150",-0.24,-0.17,0.06,-0.08,-0.05,0.86,-0.16,-0.12,-0.02,-0.09,-0.15,-0.04,0.16,-0.02,0.16,-0.04,-0.1,-0.08,-0.09,-0.09,-0.11,-0.09,-0.19,-0.25,-0.16,0.22,0.06,-0.05,-0.08,1,-0.07,-0.19,-0.18,-0.13,-0.13,-0.16,-0.02,0.16,0.03,0.16,-0.04,-0.09,-0.13,-0.09,-0.11,-0.09,-0.11,-0.08,-0.09,-0.12,-0.19,-0.02,-0.07,0.27,-0.09,-0.01,-0.13,0.68,-0.13,-0.18,-0.12,-0.17,0.02,-0.16,0,-0.07,0.15,-0.06,0.15,-0.06,-0.15,-0.22,-0.06,-0.1,-0.13,-0.04,-0.17,-0.12,-0.17,-0.22,-0.29
"JackpineMixC_150",0.07,-0.04,-0.02,-0.01,-0.01,-0.06,-0.02,-0.04,-0.02,-0.01,-0.03,-0.02,-0.01,0.17,-0.01,-0.01,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,0.15,0.13,-0.04,-0.01,-0.02,-0.02,-0.02,-0.07,1,-0.03,-0.06,-0.02,0,-0.04,-0.03,-0.01,0.04,-0.01,-0.01,-0.02,-0.03,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,0.17,0.18,0,-0.02,-0.04,-0.05,-0.04,-0.04,0.92,-0.05,-0.11,-0.02,-0.05,-0.03,-0.06,-0.04,-0.01,0.02,-0.02,-0.01,-0.05,-0.04,-0.03,-0.03,-0.03,-0.02,-0.04,-0.02,-0.03,-0.03,0.27
"JackpineMixCD_150",-0.04,-0.08,-0.04,-0.03,-0.03,-0.15,0.96,-0.08,-0.05,-0.03,-0.09,-0.05,-0.03,0.06,-0.03,-0.03,0.01,-0.04,-0.03,-0.03,0.25,-0.03,0.14,-0.03,-0.09,-0.03,-0.04,-0.06,-0.05,-0.19,-0.03,1,-0.11,-0.06,-0.01,-0.11,-0.05,-0.03,0.07,-0.03,-0.03,0.04,-0.03,-0.03,-0.03,-0.03,0.25,-0.03,-0.03,0.01,0.19,0,-0.01,-0.04,-0.03,-0.04,-0.09,-0.16,0.02,0.67,-0.11,-0.05,-0.06,-0.04,-0.13,-0.05,-0.03,0.08,-0.04,-0.03,0.08,0.01,0.04,-0.05,-0.07,-0.06,0.27,-0.04,-0.07,0.29,0.21
"JackpineMixWet_150",-0.19,-0.07,0.07,0.1,-0.04,-0.14,-0.09,0.88,0.09,0.1,-0.11,-0.03,-0.05,-0.1,-0.05,-0.05,0.04,-0.09,-0.05,0.1,-0.07,-0.06,-0.15,-0.23,-0.03,-0.05,0.07,0.01,-0.05,-0.18,-0.06,-0.11,1,0.1,-0.06,-0.05,0.02,-0.05,-0.07,-0.05,-0.05,-0.01,-0.11,-0.05,0.12,-0.05,-0.08,0.26,0.01,-0.07,-0.13,-0.24,0.07,0.05,0.1,0.08,-0.05,-0.13,0,-0.09,0.62,0.22,0.18,0.08,0.02,0.33,-0.06,0.03,-0.08,-0.03,-0.12,-0.11,-0.11,0.03,-0.02,0,0.07,0.17,-0.04,0.03,-0.14
