,SS,Blackspruce_500,BlackspruceMixCD_500,BlackspruceMixDC_500,Bog_500,Fen_500,GrassHerb_500,Jackpine_500,JackpineMixC_500,JackpineMixCD_500,JackpineMixWet_500,Marsh_500,Shrub_500,Swamp_500,Tamarack_500,TamarackMixCD_500,TamarackMixDC_500,Tremblingaspen_500,TremblingaspenMixCD_500,TremblingaspenMixD_500,TremblingaspenMixDC_500,Water_500,Whitebirch_500,WhitebirchMixD_500,WhitebirchMixDC_500,WhitebirchMixWet_500,Whitespruce_500,WhitespruceMixC_500,WhitespruceMixCD_500,WhitespruceMixWet_500,wtage_500
74,BG_15_77,148477.1518,55292.32572,0,0,0,0,47113.93923,0,0,120687.3829,0,69372.41731,0,0,38598.76182,0,167464.4033,0,0,52165.14028,3159.073473,0,30474.89499,19500.64796,0,0,0,33070.92291,0,88.79680697
75,BG_15_78,178834.6891,0,0,734.6011277,721.1515298,0,1696.274504,0,0,78487.28632,0,0,900,0,0,0,397823.9765,0,0,34188.74583,0,0,73893.30249,0,0,0,0,18098.43776,0,87.64300626
76,BG_15_79,388239.4905,1267.205459,0,0,3.180471639,0,71002.67929,0,330.2800431,103656.995,0,0,0,0,0,0,167242.9813,0,0,12523.65419,0,0,41109.92851,0,0,0,0,0,0,85.13893376
77,BG_15_8,265268.3326,9044.142051,0,0,0,125128.8647,40555.61903,0,78211.77891,51927.39139,0,0,0,0,4185.22203,0,0,0,0,0,211054.7718,0,0,0,0,0,0,0,0,96.09876543
78,BG_15_80,505158.7847,61399.35115,0,0,0,0,94197.90983,0,0,3622.870056,0,0,0,0,1576.652162,0,108749.2801,0,0,10672.49568,0,0,0,0,0,0,0,0,0,82.7947494
79,BG_15_81,338992.0608,0,0,0,0,0,188180.4214,0,15598.47201,0,0,0,0,0,0,0,69366.24371,0,0,172486.453,0,0,0,0,0,752.6831891,0,0,0,94.34883721
80,BG_15_82,132960.2189,50927.39627,0,0,3267.365312,0,101831.6103,0,64009.00003,13779.0382,0,0,2077.438403,14133.75935,222554.2907,0,97712.95453,0,0,67021.69649,0,0,0,0,0,15102.82397,0,0,0,94.53846154
81,BG_15_83,58865.41725,117000.2051,0,1366.264838,8271.315418,0,1800.05926,5120.037485,29461.73932,156395.182,1839.621637,0,5300.603242,34246.7527,214786.3207,0,123358.412,0,0,0,0,0,0,0,0,0,0,0,27566.59585,94.42525773
82,BG_15_84,108983.1292,92572.86433,0,607.2748605,5636.353925,0,88556.58256,0,0,226906.4296,1019.996188,12701.9902,0,0,0,0,196031.0325,0,0,1131.97379,15752.83313,0,0,0,0,0,0,0,35475.83127,92.08300395
83,BG_15_85,185277.542,69985.95787,0,0,0,0,38292.86045,0,0,130414.9837,0,48757.10108,0,47854.88951,0,0,30568.28405,0,0,0,215350.2476,0,0,0,0,649.2792407,0,0,18227.66021,90.3255814
84,BG_15_86,108408.8185,105215.4385,0,0,0,0,6870.664689,0,0,103335.8044,0,94904.09278,0,116875.8799,7964.480913,0,40337.99357,0,0,34201.93868,151175.7221,0,0,5419.717167,0,7639.398504,0,0,3026.882673,96.42168675
85,BG_15_87,111062.8074,284084.3071,0,0,0,0,0,0,0,100151.489,0,2413.507104,0,9876.087635,23676.32248,0,119456.8714,0,0,61974.76844,0,0,15478.89792,19500.64796,0,0,0,37702.09959,0,96.52393981
86,BG_15_88,330393.8645,122473.0733,0,0,0,0,13639.34505,0,0,61458.97808,0,0,0,0,0,0,167784.2177,0,0,40631.58193,0,0,1645.735608,10620.47924,18632.01505,0,0,18098.43776,0,90.66315789
87,BG_15_89,552137.8467,1813.936071,0,0,0,0,55776.11794,0,0,39030.04791,0,0,0,0,0,0,90203.57617,0,0,18266.53972,0,0,8249.528932,19899.02734,0,0,0,0,0,89.1216545
88,BG_15_9,277500.5579,96253.69734,0,0,0,48867.7407,83076.31276,0,25172.46837,76457.23308,0,0,0,20264.25442,140575.8151,0,0,0,0,0,17209.75093,0,0,0,0,0,0,0,0,89.67484663
89,BG_15_90,436469.4483,69024.33759,0,0,0,0,84551.90255,0,0,51056.15167,0,0,0,0,0,0,126009.3902,0,0,18266.53972,0,0,0,0,0,0,0,0,0,85.80291971
90,BG_15_91,531820.6708,0,0,0,0,4181.40949,70441.00331,0,56987.98263,0,0,57.79173693,0,0,0,0,0,0,0,98473.30464,16610.62427,0,0,0,0,6802.71591,0,0,0,101.1496063
91,BG_15_92,316506.9607,8979.752861,0,0,3353.797586,2992.282895,29362.79811,3299.834203,193059.3311,0,0,0,2077.438403,0,36603.57359,0,105684.687,0,0,10240.85054,31636.36322,0,0,0,0,41578.89527,0,0,0,106.7923387
92,BG_15_93,190803.5588,16824.04153,0,0,2272.348303,7870.533068,56501.50122,7386.679672,105651.4189,60820.39643,0,10718.28623,5144.71848,34048.89449,25791.44971,0,79403.74283,0,0,0,177389.5291,0,0,0,0,4591.736514,0,0,159.8626154,105.9252336
93,BG_15_94,83274.39828,43651.78788,0,0,2221.577975,0,97133.5513,0,0,38912.17961,0,25722.90069,3925.385975,7144.959887,0,0,50633.12585,0,0,0,410768.7148,0,0,0,0,1019.479271,0,0,20970.3157,96.85100287
94,BG_15_95,36574.55877,16258.37041,0,0,0,0,29913.56285,0,0,0,0,36988.80034,0,0,0,0,0,0,0,0,651681.3732,5081.071581,0,0,0,8881.042925,0,0,0,93.51327434
95,BG_15_96,168868.921,23002.32719,0,247.2058632,2666.556087,0,15213.55036,0,137034.2124,40574.9659,0,32380.06351,0,12510.30447,0,0,22243.99039,0,0,64295.40671,258701.6185,0,0,0,0,7639.398504,0,0,0,100.1877395
96,BG_15_97,90446.28616,292676.1783,0,0,0,0,5669.716054,0,124485.5685,43060.67756,0,27935.36171,0,0,0,0,140426.0538,0,0,60095.06964,0,0,0,0,0,582.4635806,0,0,0,101.9394813
97,BG_15_98,214320.0437,280378.0396,0,0,0,0,17406.67271,0,12397.0173,34098.60317,0,0,0,0,0,0,170667.632,0,0,12096.93339,0,0,9430.63234,788.9712068,33622.61481,169.2917325,0,0,0,90.00775194
98,BG_15_99,380855.0205,112985.5841,0,1280.581025,7509.271118,0,25671.53078,0,0,108297.5103,0,0,0,0,0,0,82024.05283,0,0,20492.34972,0,0,9430.63234,13997.22972,22833.72489,0,0,0,0,92.07432432
