"","model","formula","lam(Int)","SElam(Int)","lam(S500.mean_MaxHeight)","SElam(S500.mean_MaxHeight)","lam(S500.VPD__10.11m_Grid.1x1m.mean)","SElam(S500.VPD__10.11m_Grid.1x1m.mean)","lam(S500.VPD__100.150cm_Grid.1x1m.mean)","SElam(S500.VPD__100.150cm_Grid.1x1m.mean)","lam(S500.VPD__11.12m_Grid.1x1m.mean)","SElam(S500.VPD__11.12m_Grid.1x1m.mean)","lam(S500.VPD__150.200cm_Grid.1x1m.mean)","SElam(S500.VPD__150.200cm_Grid.1x1m.mean)","lam(S500.VPD__2.3m_Grid.1x1m.mean)","SElam(S500.VPD__2.3m_Grid.1x1m.mean)","lam(S500.VPD__3.4m_Grid.1x1m.mean)","SElam(S500.VPD__3.4m_Grid.1x1m.mean)","lam(S500.VPD__4.5m_Grid.1x1m.mean)","SElam(S500.VPD__4.5m_Grid.1x1m.mean)","lam(S500.VPD__5.6m_Grid.1x1m.mean)","SElam(S500.VPD__5.6m_Grid.1x1m.mean)","lam(S500.VPD__50.100cm_Grid.1x1m.mean)","SElam(S500.VPD__50.100cm_Grid.1x1m.mean)","lam(S500.VPD__6.7m_Grid.1x1m.mean)","SElam(S500.VPD__6.7m_Grid.1x1m.mean)","lam(S500.VPD__7.8m_Grid.1x1m.mean)","SElam(S500.VPD__7.8m_Grid.1x1m.mean)","lam(S500.VPD__8.9m_Grid.1x1m.mean)","SElam(S500.VPD__8.9m_Grid.1x1m.mean)","lam(S500.VPD__9.10m_Grid.1x1m.mean)","SElam(S500.VPD__9.10m_Grid.1x1m.mean)","p(Int)","SEp(Int)","Converge","CondNum","negLogLike","nPars","n","AIC","delta","AICwt","Rsq","cumltvWt"
"29","10/15","~1 ~ S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + 1",-0.819997658147053,0.188034258667821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.182601327185005,0.207662258884452,NA,NA,NA,NA,NA,NA,NA,NA,0.183025742049743,0.205916231132288,NA,NA,-0.423031326396817,0.22775231629682,0,4.59708712005574,162.331541044123,4,98,332.663082088247,3.86219339780342,0.0177103323930944,NA,0.829239989339716
"30","5/16","~1 ~ S500.VPD__100.150cm_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.81473886035412,0.189027770358218,NA,NA,NA,NA,0.165379939668115,0.192293701348056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364190010356406,0.202201903403976,-0.436814473899987,0.230536595601293,0,3.63359337861555,162.339824843748,4,98,332.679649687497,3.87876099705358,0.0175642295271697,NA,0.846804218866886
"31","8/9","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__3.4m_Grid.1x1m.mean + 1",-0.818394037271896,0.187012471870465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.548412944576338,0.415441249408371,0.723256783515286,0.403338371827973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.420796887725938,0.227252788925247,0,23.1273213108508,162.348162255151,4,98,332.696324510301,3.89543581985794,0.0174183980927287,NA,0.864222616959614
"32","4/5","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__100.150cm_Grid.1x1m.mean + 1",-0.810624616549854,0.188760378497181,NA,NA,0.368490057250411,0.205157126847923,0.183511664792001,0.197992753894438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.442223611304362,0.231607189052078,0,3.79876991162212,162.362371709213,4,98,332.724743418425,3.92385472798202,0.0171726423278243,NA,0.881395259287439
"33","8/15","~1 ~ S500.VPD__2.3m_Grid.1x1m.mean + S500.VPD__8.9m_Grid.1x1m.mean + 1",-0.820612483125882,0.188692234466675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149810921446062,0.179334668309547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30419421159203,0.175119874185404,NA,NA,-0.423543985046235,0.227862590330194,0,3.30638782342082,162.363479707449,4,98,332.726959414898,3.92607072445514,0.0171536256075997,NA,0.898548884895038
"34","2/11","~1 ~ S500.mean_MaxHeight + S500.VPD__5.6m_Grid.1x1m.mean + 1",-0.819429354919641,0.18800293726952,0.143069703867928,0.18075897075266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255002294155022,0.169999066918425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.423292385093286,0.227633511346879,0,3.61720676057058,162.363995788168,4,98,332.727991576335,3.92710288589194,0.0171447752361224,NA,0.915693660131161
"35","11/16","~1 ~ S500.VPD__5.6m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.815755397140205,0.187744715423437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179068319855944,0.212779807994064,NA,NA,NA,NA,NA,NA,NA,NA,0.175753818547308,0.223465631388035,-0.427052398644218,0.228588937022189,0,5.40222390794775,162.365207388971,4,98,332.730414777941,3.92952608749812,0.0171240151916605,NA,0.932817675322821
"36","10/12","~1 ~ S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__50.100cm_Grid.1x1m.mean + 1",-0.820026420632613,0.186724350546575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304317386932378,0.165096866435205,NA,NA,-0.14498680525886,0.174121291481306,NA,NA,NA,NA,NA,NA,NA,NA,-0.416484846606481,0.226120023518355,0,3.32192582692723,162.373728762754,4,98,332.747457525509,3.94656883506536,0.0169787150153248,NA,0.949796390338146
"37","4/7/8","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__150.200cm_Grid.1x1m.mean + S500.VPD__2.3m_Grid.1x1m.mean + 1",-0.847675026861623,0.192517690370337,NA,NA,0.228791129305661,0.215473917724116,NA,NA,NA,NA,-0.922987893352413,0.756784386039564,1.07098937023757,0.717234076926058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.422389987929033,0.227560259802748,0,79.9644930042871,161.384669941696,5,98,332.769339883392,3.96845119294881,0.0167939604157768,NA,0.966590350753923
"38","6/13","~1 ~ S500.VPD__11.12m_Grid.1x1m.mean + S500.VPD__6.7m_Grid.1x1m.mean + 1",-0.811299927073197,0.187545886944199,NA,NA,NA,NA,NA,NA,0.168161909610178,0.190217678154379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201627366720313,0.179772295574323,NA,NA,NA,NA,NA,NA,-0.432615134500817,0.229670243252317,0,4.15176962742093,162.385540998717,4,98,332.771081997434,3.97019330699044,0.0167793382879274,NA,0.98336968904185
"39","4/10/16","~1 ~ S500.VPD__10.11m_Grid.1x1m.mean + S500.VPD__4.5m_Grid.1x1m.mean + S500.VPD__9.10m_Grid.1x1m.mean + 1",-0.844188391351811,0.194237497608612,NA,NA,1.32637301538108,1.12941583226517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470863655453213,0.295200504393029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.16479401743139,1.19463221520928,-0.437390087970082,0.230800748790943,0,209.173146561793,161.394462272753,5,98,332.788924545506,3.98803585506289,0.0166303109581498,NA,1
