28,87,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,88,91,92,93,94,95,,,,,,,,,
29,91,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,92,93,94,95,96,,,,,
30,91,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,89,93,94,95,96,97,,,,,
31,88,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,81,82,83,84,85,86,87,88,89,93,94,95,96,97,98,,,,,,,,
32,78,2,3,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,33,34,35,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,61,62,63,64,65,66,67,68,71,72,73,74,75,76,77,78,82,83,84,85,86,87,88,89,95,96,97,98,,,,,,,,,,,,,,,,,,
33,68,2,3,6,7,8,9,10,11,12,14,17,18,19,20,21,22,24,27,28,29,30,31,32,34,35,38,39,40,41,42,43,44,45,46,49,50,51,52,53,54,55,56,57,61,62,63,64,65,66,67,68,72,73,74,75,76,77,78,83,84,85,86,87,88,89,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,59,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,36,37,38,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,56,59,60,61,62,63,67,77,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,58,2,3,7,8,9,10,11,12,14,18,19,20,21,22,24,28,29,30,31,32,33,39,40,41,42,43,44,45,46,50,51,52,53,54,55,56,57,62,63,64,65,66,67,68,73,74,75,76,77,78,84,85,86,87,88,89,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,62,1,4,5,6,7,8,9,10,13,15,16,17,18,19,20,23,25,26,27,28,29,30,31,34,37,38,39,40,41,42,45,47,48,49,50,51,52,53,56,58,59,60,61,62,63,64,69,70,71,72,73,79,80,81,82,83,84,90,91,92,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,71,1,4,5,6,7,8,9,10,13,15,16,17,18,19,20,21,23,25,26,27,28,29,30,31,32,34,36,38,39,40,41,42,43,45,47,48,49,50,51,52,53,54,56,58,59,60,61,62,63,64,65,67,69,70,71,72,73,74,79,80,81,82,83,84,85,90,91,92,93,94,95,,,,,,,,,,,,,,,,,,,,,,,,,
38,81,1,4,5,6,7,8,9,10,11,13,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,32,33,34,36,37,39,40,41,42,43,44,45,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65,66,67,69,70,71,72,73,74,75,77,79,80,81,82,83,84,85,86,90,91,92,93,94,95,96,,,,,,,,,,,,,,,
39,91,1,4,5,6,7,8,9,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,80,81,82,83,84,85,86,87,88,90,91,92,93,94,95,96,97,,,,,
40,96,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
41,96,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,91,92,93,94,95,96,97,98
42,91,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,89,92,93,94,95,96,97,98,,,,,
43,81,2,3,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,37,38,39,40,41,42,44,45,46,48,49,50,51,52,53,54,55,56,57,59,60,61,62,63,64,65,66,67,68,71,72,73,74,75,76,77,78,81,82,83,84,85,86,87,88,89,93,94,95,96,97,98,,,,,,,,,,,,,,,
44,71,2,3,7,8,9,10,11,12,14,17,18,19,20,21,22,24,27,28,29,30,31,32,33,34,35,38,39,40,41,42,43,45,46,49,50,51,52,53,54,55,56,57,60,61,62,63,64,65,66,67,68,72,73,74,75,76,77,78,82,83,84,85,86,87,88,89,94,95,96,97,98,,,,,,,,,,,,,,,,,,,,,,,,,
