"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"17","BG_15_23",4.82735863991826,2.99848572159378,3.10308165005901,2.51306295287003,2.28348383510464,2.16839390235698,2.0341820055873,1.9002042845794,1.81226181699309,1.77462081242637,1.77712258605796,1.79595224394933,1.77304375045242,1.77349490247477,0,1.84345211292238,1.85377076640462,3.08113827488616,1.65861584561493,1.66826337773787,4.74085026423228
"18","BG_15_24",5.80612938793391,2.5743035022035,2.72538150463956,2.42896440595451,2.34632841079818,2.2405299364716,2.1741579738748,2.1167310533121,2.09386557855398,1.94608088961214,1.76702038987678,1.52060364442129,1.20500521502452,0.976451106926667,0,0.774997381862208,0.534614602882065,0.379145297947135,0.0514256365658681,0.0255087928968275,0.00376115307548198
"19","BG_15_26",6.23397772650619,2.96862267706686,3.16936337815508,2.51789604023231,2.27468258001863,2.14560768022962,1.98498993320892,1.7514088562716,1.59310497839445,1.56671649294432,1.50837323475784,1.49822025564811,1.49773872040464,1.59286206705981,0,1.59497267411011,1.65173749703253,2.90092422106832,1.67866257003543,1.47365365134406,2.26133131133934
"20","BG_15_27",7.52180631905138,2.15968655343498,2.31148630777749,1.98614960490332,1.77274528851279,1.55291096580779,1.31691349436258,1.11226907254311,0.919806645521107,0.799716341324266,0.743818702214707,0.692902083999459,0.676406976149301,0.683834453560886,0,0.706933248829762,0.715420551763796,1.15826818004926,0.518826546030106,0.394088230499673,0.468769939181929
"21","BG_15_28",7.25659334321928,2.00736642939163,2.07285569622677,1.80835606584888,1.55815625365744,1.35984527277469,1.19530251022456,1.03970571026103,0.982458558575544,0.953010245072455,0.887874342204667,0.817616610667588,0.776510606251335,0.711569073722541,0,0.70359870824214,0.731181400528416,1.24096752042575,0.81943999084481,0.80889373386199,1.78542063586925
"22","BG_15_29",5.13239690605666,2.60962474781754,3.18931040752464,2.68906959559043,2.30422550360688,2.13302015023775,2.09799020837982,2.0631239288748,2.08305529318968,2.14460893502674,2.20641740279955,2.32580149355721,2.37579725252317,2.44830700778935,0,2.57563139455034,2.54704006027786,3.98774723969889,1.91606392221783,1.65543729013864,2.61383979242815
"23","BG_15_3",6.44625279201316,3.60752453694693,3.44287226861961,2.95650023736661,2.60568850381428,2.40752542463078,2.50339005954976,2.48412291138216,2.6458639593652,2.84961107588888,3.02816857396706,3.15149005988379,3.31233296246069,3.42930054448561,0,3.77197511213183,3.81305038777993,6.25891104088302,3.70793806019513,3.40774782090376,8.72848186076121
"24","BG_15_30",4.42531778915838,2.26202691410061,2.5686242076917,2.05221852900277,1.84186727517962,1.88222643923017,1.94184406605308,2.02170905301191,2.09067845942393,2.25086549101347,2.33764292123215,2.41154882853471,2.52344195008519,2.638263469309,0,2.5914045730758,2.59594894861616,4.67975391178856,3.01424619989579,3.25812483100484,8.04500350371165
"25","BG_15_31",4.88003995640885,1.85485692248522,2.02015683917848,1.98532087490301,1.96967482332365,1.97518133418663,2.09090580151515,2.24905702380078,2.4039339463326,2.54158466917784,2.61260854243365,2.71934545260504,2.84242550147521,3.06598393239845,0,3.25204480481846,3.24599852078846,4.67684628241189,2.68925045841834,2.29325158215513,2.70337154026408
"26","BG_15_32",5.36987084132259,1.84885975445772,2.47091433937755,2.45857711711586,2.54998389059407,2.50239991266464,2.48600472696735,2.59784427226147,2.79998922529755,2.96582188273073,3.11867913207061,3.26082506752326,3.47082470257752,3.69717950821759,0,3.8418244434551,3.86612219622647,5.88749747411774,3.25598016049871,3.02971073200637,8.2449531206931
"27","BG_15_33",5.46769596453112,2.27874096983093,2.82945846207353,2.54985977355376,2.25881383476825,2.2384301712456,2.25964002605848,2.51118196923278,2.6856891095229,2.99984255620846,3.20421558838209,3.14379895890622,2.97048224413885,2.93531879008454,0,2.96216907309836,3.11607820040703,5.14724869105443,3.07709474135886,3.15693171076731,10.1224525286029
"28","BG_15_34",4.96930179030262,2.28802373069609,3.02934212643781,2.88865908015826,2.69712184793069,2.36277361658231,2.02113028398466,1.68992954743167,1.47922540606512,1.37162194581457,1.24486889243879,1.13590308451558,1.0527921350913,1.02395635097533,0,0.918104311220228,0.82087002605671,0.7811726358127,0.183578955970206,0.0839265308248998,0.0893988346874724
"29","BG_15_35",7.33252534860481,4.24153211043142,4.55325615613052,3.87218250413571,3.65227077171566,3.5518184744748,3.56422853726546,3.32762709647054,3.23218797635155,3.25036807593257,3.32028723742502,3.3297847177682,3.37280954052771,3.57722043574258,0,3.62431336580663,3.8468393023309,6.97810565841332,4.1959632930033,4.06572263772173,12.5439596546853
"30","BG_15_36",8.86776410892176,4.40730839458797,4.88059103436091,4.443642187464,4.21673693838527,4.26020991767861,4.24280993129718,4.26335684517407,4.27703937510429,4.3387504280358,4.17128682949094,4.163222590725,4.39729261112283,4.51606196031311,0,4.73363382868252,4.90656284826088,8.89810228200699,5.77991132206671,5.65328117772063,13.1829759527763
"31","BG_15_37",9.24233633322673,4.26717964243346,5.13858609777487,4.19661467063745,3.49099085889953,3.21099942066443,2.9716556429637,2.84068025645189,2.76460179963029,2.76791280121036,2.5256628704337,2.33177080505345,2.17299441996216,1.87681917769273,0,1.46748018033438,0.983102807077298,0.823455239421786,0.00752326404723263,0,0
"32","BG_15_38",5.90023202971037,2.31940670342547,2.52479511190661,2.28106142004424,2.08838465736201,1.90878106279368,1.71667671823839,1.57760666483933,1.3804427229638,1.28334465724537,1.2144397332584,1.21573517716795,1.28966247358112,1.34314027254011,0,1.28104122515173,1.12208249115535,1.00302052110272,0.124837562407528,0,0
"33","BG_15_39",5.98745071314954,2.29710210602089,2.68843618297075,2.60876902288179,2.53190092973751,2.47428116257755,2.48027148384815,2.46592489162438,2.4404461466063,2.40465148159716,2.38318934135417,2.2302090439107,1.99626736119344,1.69166841816513,0,1.45592808394069,1.20635295915259,1.29129447241018,0.282872897017449,0.097265388999463,0.0534539811916206
