"","SS","VPC_00.01m_Grid.1x1m","VPC_01.02m_Grid.1x1m","VPC_02.03m_Grid.1x1m","VPC_03.04m_Grid.1x1m","VPC_04.05m_Grid.1x1m","VPC_05.06m_Grid.1x1m","VPC_06.07m_Grid.1x1m","VPC_07.08m_Grid.1x1m","VPC_08.09m_Grid.1x1m","VPC_09.10m_Grid.1x1m","VPC_10.11m_Grid.1x1m","VPC_11.12m_Grid.1x1m","VPC_12.13m_Grid.1x1m","VPC_13.14m_Grid.1x1m","VPC_14.15m_Grid.1x1m","VPC_15.16m_Grid.1x1m","VPC_16.17m_Grid.1x1m","VPC_17.18m_Grid.1x1m","VPC_18.19m_Grid.1x1m","VPC_19.20m_Grid.1x1m","VPC_20m.above_Grid.1x1m"
"11","BG_15_18",6.62946285787575,2.32701983980604,2.59772554552363,2.31522392577158,2.12067457397055,1.9153712418989,1.71025340724648,1.56998743561641,1.43444761460651,1.3790358935195,1.34684340733077,1.36666515041918,1.38680823836977,1.37655705689288,0,1.34359081724666,1.32730584135876,2.11111926374418,1.10709047469896,0.992343208429646,1.34822454800069
"12","BG_15_19",7.16884719709756,3.28991397905762,3.71198703778378,3.4382605105476,3.33020254391136,3.22789559383403,3.11470494128479,3.00649769101052,2.9058180199493,2.82503842150333,2.73589227097865,2.66118413692234,2.69486653764181,2.7736763199398,0,2.85649609984904,2.98488054889023,5.16690695323167,2.78769980064787,2.58668508680262,5.22151806441819
"13","BG_15_2",5.92565826924875,2.89484673343098,3.46578644485519,3.30415516756403,3.1771704920726,3.0310874726181,2.90563337777495,2.71522491617747,2.49296579942523,2.24188866614906,1.97459106400587,1.7135866730526,1.48127829832878,1.25742434078467,0,0.967415044863203,0.775041573238011,0.910868658777456,0.301064245218102,0.233900943998172,0.459323983361914
"14","BG_15_20",6.35424001246791,3.52020553903297,4.08220504905549,3.70245177663785,3.59227927156922,3.56787015456728,3.56597516739446,3.63869427124869,3.77321281882492,3.90223984890854,3.9790309933951,3.99764732741799,4.00319613047832,3.94876403552986,0,3.91478808047949,3.8397404307232,6.2156742478949,3.30193301761335,3.00400111731823,6.28183347779521
"15","BG_15_21",5.87227462813679,2.76738591145742,3.3117786846667,2.93898563847757,2.55296866710209,2.30597987689266,2.17793000896611,2.13323390434603,2.16530109088953,2.2313280759735,2.2876366665753,2.30276256658449,2.30709278725019,2.25691868671367,0,2.17519337489439,2.06640069401437,3.2196751722535,1.74480911216426,1.63881363151742,3.71104819040335
"16","BG_15_22",6.1223789957008,3.17026246639644,3.76601920695309,3.3791914214816,3.04801381808628,2.79388520438295,2.6323417227068,2.60024219410415,2.58365800856596,2.56344160245038,2.58098277191678,2.55850094624876,2.50277866094422,2.42224221508188,0,2.36453414462728,2.32311427892158,3.84549751658438,2.31606599144393,2.33820313228259,7.24076715199197
"17","BG_15_23",6.11653340706222,3.52541497270811,3.75499369263675,3.158524109035,2.88019107737174,2.74914427107062,2.70471822487425,2.70782481831474,2.73464228171611,2.72986454626482,2.74575110249985,2.7337240673063,2.72596865108183,2.69389618052335,0,2.61461030189692,2.58141780946898,4.30931866364937,2.70230652953574,2.91846008764812,10.7627710917103
"18","BG_15_24",6.23093267318372,3.00592951366224,3.38401605451357,3.09096689895062,2.88992432546463,2.70296271728421,2.56081373343562,2.43399746277671,2.34229452227362,2.23178012531664,2.11745052056112,1.98334006310398,1.84923756350426,1.73397715570196,0,1.60748374678145,1.46964169488907,2.02085663046179,0.899978736478072,0.816503819835129,2.114344875395
"19","BG_15_26",6.32221455447055,3.16246188394856,3.54668348896364,3.11878640795855,2.89878017046117,2.82848212919908,2.75129268345398,2.65915552051753,2.5717124373317,2.50958839377876,2.42929477103219,2.37593165313721,2.33977212957346,2.3447633789257,0,2.36004046533772,2.32389745107167,3.99198222943568,2.42875414023252,2.49918826686601,6.84582658039873
"20","BG_15_27",6.47550095671947,3.01553289317741,3.29701158626809,2.8962987757001,2.63552594463374,2.53001958736999,2.41324108037333,2.32934813134789,2.24202838982758,2.15176277232585,2.07308751921148,2.00277554738906,1.92164949708543,1.8682285788569,0,1.78114490549987,1.70927787698607,2.64234129375472,1.37237908420636,1.25048450411805,3.04581998782902
