,SS,mean_MaxHeight,mean_MeanHeight,mean_PercCanopyCoverCut0.1m,mean_PercCanopyCoverCut0.5m,mean_PercCanopyCoverCut1.0m,mean_PercCanopyCoverCut1.5m,mean_PercCanopyDensity,sd_MaxHeight,sd_MeanHeight,sd_PercCanopyCoverCut0.1m,sd_PercCanopyCoverCut0.5m,sd_PercCanopyCoverCut1.0m,sd_PercCanopyCoverCut1.5m,sd_PercCanopyDensity,cv_MaxHeight,cv_MeanHeight,cv_PercCanopyCoverCut0.1m,cv_PercCanopyCoverCut0.5m,cv_PercCanopyCoverCut1.0m,cv_PercCanopyCoverCut1.5m,cv_PercCanopyDensity,kurtosis_MaxHeight,kurtosis_MeanHeight,kurtosis_PercCanopyCoverCut0.1m,kurtosis_PercCanopyCoverCut0.5m,kurtosis_PercCanopyCoverCut1.0m,kurtosis_PercCanopyCoverCut1.5m,kurtosis_PercCanopyDensity,skewness_MaxHeight,skewness_MeanHeight,skewness_PercCanopyCoverCut0.1m,skewness_PercCanopyCoverCut0.5m,skewness_PercCanopyCoverCut1.0m,skewness_PercCanopyCoverCut1.5m,skewness_PercCanopyDensity,strata_00_to_02_returnProportion,strata_02_to_04_returnProportion,strata_04_to_06_returnProportion,strata_06_to_08_returnProportion,strata_08_to_10_returnProportion,strata_10_to_15_returnProportion,strata_15_to_20_returnProportion,strata_20_above_returnProportion
76,BG_15_79,8.751081949,5.950931538,76.100229,66.5121277,64.71780346,63.28130561,73.58240004,5.631795824,4.565666055,27.39122243,33.694791,34.53887735,35.00765553,26.23937012,64.35542322,76.72187162,35.99361368,50.65961978,53.36843266,55.32069099,35.65984544,2.07928614,2.178458797,3.646175921,2.385803041,2.209922866,2.080405448,3.649422333,0.253484465,0.512563405,-1.326005524,-0.910199529,-0.831650363,-0.763422411,-1.268057376,0.304146181,0.13188595,0.121907203,0.111331529,0.099659457,0.123183184,0.107115263,0.000771238
77,BG_15_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,BG_15_80,4.57337096,2.517395012,65.52368284,49.2214049,45.66850344,43.27158308,65.24386609,2.893461071,1.981282604,27.75621618,32.40462395,32.83465461,32.89201973,27.37610051,63.2675787,78.70368359,42.36058625,65.83441497,71.8978117,76.01297986,41.95965406,2.768870439,3.669052047,2.321654895,1.694907494,1.64947336,1.644132913,2.349952814,0.374155078,0.942990453,-0.657897488,-0.122635998,0.003105217,0.092785944,-0.665024565,0.497932413,0.242485719,0.150256562,0.074248729,0.027047575,0.007925413,0.000103596,0
79,BG_15_81,9.534432052,5.360315603,74.69265714,57.23649782,54.06012977,52.68994652,73.55656651,6.449530579,4.17850501,24.90851592,31.64005022,31.85985531,32.16860485,24.19596585,67.6446226,77.95259308,33.34801154,55.2795007,58.93410808,61.05264282,32.89436552,2.065032879,2.311238844,3.378123623,2.039089133,1.913401155,1.84499206,3.276166121,0.239679183,0.520891224,-1.101206619,-0.566038332,-0.491170285,-0.447666597,-1.009327863,0.420351229,0.117118964,0.090861906,0.073175004,0.068055672,0.135762101,0.067383938,0.027291192
80,BG_15_82,5.052870194,2.809613134,70.94912191,50.67358105,46.04968186,42.86612368,70.56941967,4.287254954,2.949709674,27.69961504,33.78832683,34.31622304,34.47492343,27.32556676,84.84791396,104.9863285,39.04151918,66.67838771,74.52000027,80.42463481,38.72154098,4.044118146,6.107506117,2.74080343,1.62770038,1.565513015,1.565477399,2.774519551,1.161134721,1.707633326,-0.902988495,-0.159163546,0.003981906,0.13028953,-0.906344944,0.553744711,0.194118763,0.092191406,0.059400734,0.041865278,0.041916077,0.015704679,0.001058358
81,BG_15_83,13.94834258,8.821355304,82.89522776,74.3636294,72.34361158,70.88525067,80.07606258,5.859868541,4.384964802,21.64400951,27.27815453,28.43489226,29.07692968,21.04014457,42.01121752,49.70851587,26.11007907,36.68211833,39.30532585,41.01971764,26.27519872,3.100523787,2.450166186,6.332172507,4.176966892,3.791649264,3.532471297,5.74256905,-0.940227251,-0.403485573,-1.914080813,-1.442267071,-1.342094079,-1.264583707,-1.703926865,0.24920674,0.071351975,0.053588462,0.072268865,0.086460103,0.191486582,0.249465991,0.02617129
82,BG_15_84,9.070998597,5.850514127,80.13456351,67.14347161,63.33735044,60.95328326,78.46149145,5.787781737,4.392339384,23.85289433,32.38381445,34.83381237,36.2508751,23.20676278,63.80534266,75.07612645,29.76605011,48.23077162,54.997268,59.47321155,29.57726441,1.846607684,2.038196533,4.495330754,2.460882475,2.081833281,1.89145143,4.381630913,-0.05461702,0.349151607,-1.502095774,-0.888133197,-0.736258433,-0.6501306,-1.422253308,0.36446514,0.102803691,0.085031746,0.094905553,0.093774737,0.164939842,0.091866675,0.002212624
83,BG_15_85,5.363246249,2.947767881,70.2711504,47.21374394,43.47037412,41.4032578,70.1543904,4.413892443,2.898139119,27.5750915,35.55627297,35.99847888,35.97183459,27.08381121,82.29889581,98.31639517,39.24098487,75.3091579,82.81152304,86.88165254,38.60601034,2.556211797,3.74713955,2.56088495,1.520745796,1.50531507,1.522239876,2.610361074,0.62897265,1.119811884,-0.795622274,0.001277813,0.125272188,0.201118153,-0.803798976,0.5505572,0.139346773,0.112536395,0.088056152,0.052647081,0.043989303,0.012867104,0
84,BG_15_86,1.265076483,0.512674981,53.0459404,16.31028253,8.264558416,6.022346659,53.05291418,1.432562848,0.531618708,28.24690535,21.23899239,15.71889313,13.25722797,28.241148,113.2392285,103.6950755,53.24989082,130.2184211,190.1964066,220.1339232,53.23203907,5.774787106,11.18383832,1.916890941,4.506041795,8.825591175,11.99851225,1.918263839,1.738081203,2.498218532,-0.121400387,1.45345383,2.379055769,2.839723004,-0.122135618,0.937023375,0.051292049,0.010482529,0.00111926,8.28E-05,0,0,0
85,BG_15_87,9.469012215,6.455991343,81.61897428,76.60669381,76.07416646,75.57863323,76.16698906,3.606031897,2.808146074,24.65060189,26.86299804,27.16169764,27.43574239,23.31625821,38.08245058,43.49674472,30.20204812,35.06612373,35.70423299,36.30092424,30.61202562,3.857366372,3.191200213,6.550318524,5.061165269,4.901953189,4.733291907,6.026614195,-0.80705467,-0.392333647,-2.054124493,-1.695856445,-1.660305648,-1.618551907,-1.834906705,0.167584597,0.072856106,0.127135631,0.24791391,0.20739109,0.157933644,0.019185033,0
