"","SS","VPD__0.1m_Grid.1x1m","VPD__0.50cm_Grid.1x1m","VPD__1.2m_Grid.1x1m","VPD__10.11m_Grid.1x1m","VPD__100.150cm_Grid.1x1m","VPD__11.12m_Grid.1x1m","VPD__12.13m_Grid.1x1m","VPD__13.14m_Grid.1x1m","VPD__14.15m_Grid.1x1m","VPD__15.16m_Grid.1x1m","VPD__150.200cm_Grid.1x1m","VPD__16.17m_Grid.1x1m","VPD__17.18m_Grid.1x1m","VPD__18.19m_Grid.1x1m","VPD__19.20m_Grid.1x1m","VPD__2.3m_Grid.1x1m","VPD__3.4m_Grid.1x1m","VPD__4.5m_Grid.1x1m","VPD__5.6m_Grid.1x1m","VPD__50.100cm_Grid.1x1m","VPD__6.7m_Grid.1x1m","VPD__7.8m_Grid.1x1m","VPD__8.9m_Grid.1x1m","VPD__9.10m_Grid.1x1m","VPD__Abv200cm_Grid.1x1m","VPD__Abv20m_Grid.1x1m"
"21","BG_15_28",0.77715066576323,0.740323456856761,0.0420270927225539,0.00752197983488614,0.0196075828790283,0.00703754596960085,0.00644696001324245,0.00568124577822267,0,0.00488782851209304,0.0224195099063604,0.00412957981754501,0.00623244670967224,0.00244787021665509,0.00211306055120884,0.0355415650866707,0.024001652229054,0.0175226993040759,0.013532158522962,0.0368272097136874,0.01115199975477,0.00980496125203351,0.00889483693628991,0.00823192989705611,0.180822244363489,0.00564192518003995
"22","BG_15_29",0.415060236768811,0.374450753485958,0.0534294969171823,0.0258234978787083,0.0232477478541182,0.0242687391161159,0.0228564828074507,0.0213610330735006,0,0.020021270606134,0.0301817491411567,0.0189607731180722,0.0355175879807786,0.0159642502028219,0.0142364172198152,0.0576679091199257,0.0459321239774729,0.0397994642832762,0.035908225409922,0.0406094838840312,0.0329560392871217,0.0306703755597108,0.0286227756959747,0.0271716500718641,0.531510270186975,0.0337716587834806
"23","BG_15_3",0.371105251454178,0.324653791416826,0.0674496826587963,0.0293696587862174,0.0286307445425152,0.0249116456933533,0.0207564574056662,0.0174075338612565,0,0.0141267195564042,0.0388189381947497,0.0114053649843964,0.016432526032866,0.00646714983363787,0.00596165716196643,0.074117657171453,0.0613797396530167,0.0540751776576381,0.0485821019320671,0.0464514607471044,0.0444222238381991,0.0410057521789158,0.0377033967339716,0.0337978990534067,0.561445071573599,0.019522414543906
"24","BG_15_30",0.232481849204225,0.202473908475272,0.0462484116434942,0.0391578310748503,0.0193663505342053,0.0373020203316006,0.0352558248122793,0.0333080197859337,0,0.0313017941620801,0.0268820611670415,0.0298872145938538,0.0561960137821717,0.0261784629939482,0.0239999769545251,0.0557552089553761,0.0466236907131004,0.0416219990929857,0.039944880875479,0.030007941072747,0.0393854416288673,0.0397382986672993,0.0402199690098786,0.0401221751695762,0.721269742760875,0.0652709258441235
"25","BG_15_31",0.280136251765795,0.254016488570804,0.0317455632887028,0.0395487982184472,0.0137874003484652,0.0402155446891492,0.0387198098539547,0.0368637272201043,0,0.0352997601453395,0.0179581629828778,0.0339266038208179,0.0655153647675576,0.0321548288739313,0.0301980549112384,0.0350644594059312,0.0304071603434653,0.0281905762414602,0.0278043895621961,0.0261197635905815,0.0288733516001342,0.0313062162122956,0.034682515816652,0.0377740149352875,0.688118188499312,0.0815730177429084
"26","BG_15_32",0.297500316220776,0.265490351522016,0.0436218803427976,0.042185814774213,0.0188919547892776,0.040135160986675,0.0359851765141925,0.0314306642154385,0,0.0271771394282184,0.024729925611635,0.0236845251097647,0.0409753784339283,0.0198281540623139,0.0201113616858869,0.0476474444182922,0.0400521640056997,0.0352159029233936,0.0330469112032552,0.0320099651644948,0.0336282035552439,0.0362804963264056,0.039663466591531,0.0416985388439286,0.658877807136669,0.070131309009313
"27","BG_15_33",0.341951426553547,0.303568864395798,0.0538594400260982,0.0308273976532649,0.0226338459230297,0.029369093883024,0.026617045875005,0.0238237585385818,0,0.0211511840928908,0.0312255941755413,0.0192685930831781,0.0365669828332582,0.0190581681114944,0.0197363422261262,0.0610356311960123,0.04810978400373,0.0395209228021121,0.0345683135414838,0.0383825627795481,0.0318969832922208,0.0311030389102795,0.0314816429279417,0.0313792046551368,0.604189137732221,0.0686750543499144
"28","BG_15_34",0.447217014612098,0.399982794440724,0.0709001609388722,0.0194148980878473,0.0286209255570367,0.0165712853096299,0.0138634590231819,0.0114745676279896,0,0.0096030911556784,0.0422792354815916,0.00827657027326906,0.0134429545413807,0.00562065198795696,0.00487378304777394,0.0834152659012633,0.0650223445182929,0.0530522153446132,0.0441134941090606,0.047234221016032,0.03689991454807,0.0310248947008861,0.0262335605801043,0.0224355302568157,0.481882830548712,0.016544352887051
"29","BG_15_35",0.439478362571086,0.39677758710726,0.0566992874968144,0.0242896203416257,0.024706904658793,0.0228653662386731,0.0212751247822836,0.0200913983458373,0,0.0184847874932225,0.031992382919618,0.0174584728562601,0.0313428189642756,0.0133311380062434,0.0109116672393827,0.0597734671065466,0.0461961897785749,0.0391505489751112,0.0348023532537563,0.0427007761120683,0.0317081605747075,0.0290471608546012,0.0270760944138107,0.0257756642033528,0.503822353777546,0.0302423234633852
"30","BG_15_36",0.463306195283119,0.415031525589391,0.0610042395347752,0.0205064682774766,0.0269839070326388,0.0196862855127497,0.0189837908740581,0.0183381888306003,0,0.0179124276555699,0.0340203325823554,0.0173240207372042,0.0324338435701496,0.0147112084645401,0.0133753037372475,0.0605638733167853,0.044877737885447,0.036630695066709,0.031455213781859,0.0482746704394899,0.027920604707848,0.0251806244441038,0.0231999101432295,0.0218291970890522,0.475689568903841,0.0307601775224533
